Epoch: 001, Train Acc: 0.1225, Test Acc: 0.1077, Train Acc Top5: 0.2775, Test Acc Top5: 0.2901
Epoch: 002, Train Acc: 0.1261, Test Acc: 0.1105, Train Acc Top5: 0.3766, Test Acc Top5: 0.3591
Epoch: 003, Train Acc: 0.1369, Test Acc: 0.1077, Train Acc Top5: 0.4306, Test Acc Top5: 0.3757
Epoch: 004, Train Acc: 0.1568, Test Acc: 0.1464, Train Acc Top5: 0.5207, Test Acc Top5: 0.4724
Epoch: 005, Train Acc: 0.1856, Test Acc: 0.1547, Train Acc Top5: 0.5225, Test Acc Top5: 0.4834
Epoch: 006, Train Acc: 0.2000, Test Acc: 0.1740, Train Acc Top5: 0.5550, Test Acc Top5: 0.5138
Epoch: 007, Train Acc: 0.2018, Test Acc: 0.1657, Train Acc Top5: 0.5766, Test Acc Top5: 0.4945
Epoch: 008, Train Acc: 0.2126, Test Acc: 0.2017, Train Acc Top5: 0.5892, Test Acc Top5: 0.5525
Epoch: 009, Train Acc: 0.2234, Test Acc: 0.1740, Train Acc Top5: 0.6162, Test Acc Top5: 0.5387
Epoch: 010, Train Acc: 0.2685, Test Acc: 0.2017, Train Acc Top5: 0.6288, Test Acc Top5: 0.5387
Epoch: 011, Train Acc: 0.2450, Test Acc: 0.1796, Train Acc Top5: 0.6667, Test Acc Top5: 0.5442
Epoch: 012, Train Acc: 0.2486, Test Acc: 0.1575, Train Acc Top5: 0.6703, Test Acc Top5: 0.5691
Epoch: 013, Train Acc: 0.3009, Test Acc: 0.2210, Train Acc Top5: 0.7045, Test Acc Top5: 0.5912
Epoch: 014, Train Acc: 0.3135, Test Acc: 0.2320, Train Acc Top5: 0.6703, Test Acc Top5: 0.5691
Epoch: 015, Train Acc: 0.3225, Test Acc: 0.2155, Train Acc Top5: 0.7369, Test Acc Top5: 0.5773
Epoch: 016, Train Acc: 0.3117, Test Acc: 0.2127, Train Acc Top5: 0.7477, Test Acc Top5: 0.5856
