Epoch: 001, Train Acc: 0.0631, Test Acc: 0.0718, Train Acc Top5: 0.3045, Test Acc Top5: 0.3122
Epoch: 002, Train Acc: 0.1712, Test Acc: 0.1878, Train Acc Top5: 0.5063, Test Acc Top5: 0.5221
Epoch: 003, Train Acc: 0.2631, Test Acc: 0.2376, Train Acc Top5: 0.6649, Test Acc Top5: 0.6464
Epoch: 004, Train Acc: 0.3153, Test Acc: 0.3260, Train Acc Top5: 0.7099, Test Acc Top5: 0.6796
Epoch: 005, Train Acc: 0.3387, Test Acc: 0.3177, Train Acc Top5: 0.7099, Test Acc Top5: 0.7210
Epoch: 006, Train Acc: 0.3658, Test Acc: 0.3343, Train Acc Top5: 0.7964, Test Acc Top5: 0.7707
Epoch: 007, Train Acc: 0.4036, Test Acc: 0.3646, Train Acc Top5: 0.8306, Test Acc Top5: 0.7845
Epoch: 008, Train Acc: 0.4072, Test Acc: 0.3453, Train Acc Top5: 0.8252, Test Acc Top5: 0.7983
Epoch: 009, Train Acc: 0.3928, Test Acc: 0.3453, Train Acc Top5: 0.8793, Test Acc Top5: 0.8425
Epoch: 010, Train Acc: 0.4108, Test Acc: 0.3481, Train Acc Top5: 0.8559, Test Acc Top5: 0.7928
Epoch: 011, Train Acc: 0.4541, Test Acc: 0.3785, Train Acc Top5: 0.8775, Test Acc Top5: 0.8204
Epoch: 012, Train Acc: 0.4739, Test Acc: 0.3923, Train Acc Top5: 0.9117, Test Acc Top5: 0.8398
Epoch: 013, Train Acc: 0.4631, Test Acc: 0.3785, Train Acc Top5: 0.9099, Test Acc Top5: 0.8343
Epoch: 014, Train Acc: 0.6054, Test Acc: 0.3950, Train Acc Top5: 0.9351, Test Acc Top5: 0.8481
Epoch: 015, Train Acc: 0.6180, Test Acc: 0.3785, Train Acc Top5: 0.9387, Test Acc Top5: 0.7983
Epoch: 016, Train Acc: 0.6324, Test Acc: 0.3674, Train Acc Top5: 0.9532, Test Acc Top5: 0.8149
Epoch: 017, Train Acc: 0.6703, Test Acc: 0.3757, Train Acc Top5: 0.9532, Test Acc Top5: 0.8177
Epoch: 018, Train Acc: 0.7423, Test Acc: 0.3812, Train Acc Top5: 0.9712, Test Acc Top5: 0.8122
Epoch: 019, Train Acc: 0.7586, Test Acc: 0.3840, Train Acc Top5: 0.9640, Test Acc Top5: 0.8066
Epoch: 020, Train Acc: 0.7550, Test Acc: 0.3923, Train Acc Top5: 0.9676, Test Acc Top5: 0.7680
Epoch: 021, Train Acc: 0.7766, Test Acc: 0.3923, Train Acc Top5: 0.9802, Test Acc Top5: 0.8066
