Epoch: 001, Train Acc: 0.0432, Test Acc: 0.0442, Train Acc Top5: 0.1946, Test Acc Top5: 0.1630
Epoch: 002, Train Acc: 0.0667, Test Acc: 0.0663, Train Acc Top5: 0.3117, Test Acc Top5: 0.2956
Epoch: 003, Train Acc: 0.0973, Test Acc: 0.1022, Train Acc Top5: 0.3477, Test Acc Top5: 0.3122
Epoch: 004, Train Acc: 0.1279, Test Acc: 0.0994, Train Acc Top5: 0.4108, Test Acc Top5: 0.3785
Epoch: 005, Train Acc: 0.1532, Test Acc: 0.1050, Train Acc Top5: 0.4613, Test Acc Top5: 0.3729
Epoch: 006, Train Acc: 0.1802, Test Acc: 0.1298, Train Acc Top5: 0.4919, Test Acc Top5: 0.4088
Epoch: 007, Train Acc: 0.1730, Test Acc: 0.1050, Train Acc Top5: 0.5423, Test Acc Top5: 0.4337
Epoch: 008, Train Acc: 0.1928, Test Acc: 0.1326, Train Acc Top5: 0.5477, Test Acc Top5: 0.4171
Epoch: 009, Train Acc: 0.2072, Test Acc: 0.1050, Train Acc Top5: 0.5856, Test Acc Top5: 0.4282
Epoch: 010, Train Acc: 0.2378, Test Acc: 0.1215, Train Acc Top5: 0.5784, Test Acc Top5: 0.4365
Epoch: 011, Train Acc: 0.2432, Test Acc: 0.1271, Train Acc Top5: 0.5964, Test Acc Top5: 0.4558
Epoch: 012, Train Acc: 0.2216, Test Acc: 0.1381, Train Acc Top5: 0.6144, Test Acc Top5: 0.4558
Epoch: 013, Train Acc: 0.2378, Test Acc: 0.1271, Train Acc Top5: 0.6216, Test Acc Top5: 0.4586
Epoch: 014, Train Acc: 0.2450, Test Acc: 0.1381, Train Acc Top5: 0.6306, Test Acc Top5: 0.4834
Epoch: 015, Train Acc: 0.2847, Test Acc: 0.1298, Train Acc Top5: 0.6757, Test Acc Top5: 0.5000
Epoch: 016, Train Acc: 0.2775, Test Acc: 0.1657, Train Acc Top5: 0.6649, Test Acc Top5: 0.4724
Epoch: 017, Train Acc: 0.2991, Test Acc: 0.1575, Train Acc Top5: 0.6901, Test Acc Top5: 0.4862
Epoch: 018, Train Acc: 0.3423, Test Acc: 0.1630, Train Acc Top5: 0.7117, Test Acc Top5: 0.5331
