State,Year,Unemployment,US Avg
MS,'95,0.625,Above Average
MT,'95,0.058,Above Average
NC,'95,-1.283,Below Average
ND,'95,-2.358,Below Average
NE,'95,-2.95,Below Average
NH,'95,-1.617,Below Average
NJ,'95,0.817,Above Average
NM,'95,0.992,Above Average
NV,'95,-0.033,Below Average
NY,'95,0.725,Above Average
OH,'95,-0.8,Below Average
OK,'95,-1,Below Average
OR,'95,-0.692,Below Average
PA,'95,0.267,Above Average
RI,'95,0.725,Above Average
SC,'95,-0.4,Below Average
SD,'95,-2.55,Below Average
TN,'95,-0.425,Below Average
TX,'95,0.467,Above Average
UT,'95,-2.092,Below Average
VA,'95,-1.067,Below Average
VT,'95,-1.333,Below Average
WA,'95,0.833,Above Average
WI,'95,-1.817,Below Average
WV,'95,2.283,Above Average
WY,'95,-0.817,Below Average
AK,'00,2.392,Above Average
AL,'00,0.608,Above Average
AR,'00,0.308,Above Average
AZ,'00,0.008,Above Average
CA,'00,0.992,Above Average
CO,'00,-1.208,Below Average
CT,'00,-1.558,Below Average
DC,'00,1.633,Above Average
DE,'00,-0.208,Below Average
FL,'00,-0.25,Below Average
GA,'00,-0.383,Below Average
HI,'00,0.292,Above Average
IA,'00,-1.342,Below Average
ID,'00,0.733,Above Average
IL,'00,0.367,Above Average
IN,'00,-0.825,Below Average
KS,'00,-0.358,Below Average
KY,'00,0.2,Above Average
LA,'00,1.333,Above Average
MA,'00,-1.258,Below Average
MD,'00,-0.383,Below Average
ME,'00,-0.608,Below Average
MI,'00,-0.317,Below Average
MN,'00,-0.825,Below Average
MO,'00,-0.383,Below Average
MS,'00,1.392,Above Average
MT,'00,0.983,Above Average
NC,'00,-0.283,Below Average
ND,'00,-1.008,Below Average
NE,'00,-1.133,Below Average
NH,'00,-1.292,Below Average
NJ,'00,-0.267,Below Average
NM,'00,0.958,Above Average
NV,'00,0.2,Above Average
NY,'00,0.558,Above Average
OH,'00,0.033,Above Average
OK,'00,-0.925,Below Average
OR,'00,1.142,Above Average
PA,'00,0.158,Above Average
RI,'00,0.108,Above Average
SC,'00,-0.167,Below Average
SD,'00,-1.508,Below Average
TN,'00,-0.1,Below Average
TX,'00,0.308,Above Average
UT,'00,-0.617,Below Average
VA,'00,-1.667,Below Average
VT,'00,-1.167,Below Average
WA,'00,1.192,Above Average
WI,'00,-0.425,Below Average
WV,'00,1.517,Above Average
WY,'00,-0.083,Below Average
AK,'05,1.8,Above Average
AL,'05,-0.583,Below Average
AR,'05,0.142,Above Average
AZ,'05,-0.417,Below Average
CA,'05,0.317,Above Average
CO,'05,-0.058,Below Average
CT,'05,-0.208,Below Average
DC,'05,1.3,Above Average
DE,'05,-0.942,Below Average
FL,'05,-1.4,Below Average
GA,'05,0.242,Above Average
HI,'05,-2.225,Below Average
IA,'05,-0.833,Below Average
ID,'05,-1.05,Below Average
IL,'05,0.6,Above Average
IN,'05,0.383,Above Average
KS,'05,-0.075,Below Average
KY,'05,0.783,Above Average
LA,'05,2.042,Above Average
