miles,gas
3683.6965,2.3829
3722.7648,2.4026
3776.8595,2.2539
3912.0962,2.3079
3942.1488,2.2658
3984.2224,2.2526
4089.4064,2.2158
4230.6536,2.1237
4383.9219,2.1039
4546.2059,2.1368
4681.4425,2.1421
4837.716,2.1408
5048.0841,2.1263
5216.3787,2.0737
5384.6732,2.0118
5652.1412,1.9316
5979.7145,1.8737
6160.0301,1.9026
5946.6566,2.3447
6117.9564,2.3079
6400.4508,2.3237
6634.861,2.3592
6890.308,2.2288
6755.0714,2.6829
6670.9241,3.2974
6743.0503,3.2961
6836.2134,2.9197
6938.3921,2.6566
7127.7235,2.475
7326.0706,2.3618
7554.4703,1.7605
7776.8595,1.7553
8089.4064,1.6842
8395.9428,1.7473
8537.1901,1.8763
8528.1743,1.7776
8675.432,1.6855
8843.7265,1.5974
8906.837,1.5842
9144.2524,1.5987
9183.3208,1.6737
9405.71,1.6461
9577.0098,1.3881
9688.2044,1.4987
9706.2359,1.8947
9685.1991,1.7658
9802.4042,1.6381
9853.4936,1.8592
9991.7355,2.1421
10054.846,2.5329
10030.8039,2.7934
10012.7724,2.9487
9871.5252,3.3066
9652.1412,2.3776
9592.0361,2.6066
