country,category,value
British Indian Ocean Terr.,Imports,1.9
Tanzania,Imports,22.4
Mauritius,Imports,229.5
Mozambique,Imports,27.5
Madagascar,Imports,57.4
Comoros,Imports,2.2
Reunion,Imports,0.4
French Southern and Antarctic,Imports,0.4
South Africa,Imports,2208.0
Namibia,Imports,11.5
Botswana,Imports,21.3
Zambia,Imports,32.8
Swaziland,Imports,32.4
Zimbabwe,Imports,97.5
Malawi,Imports,41.1
Lesotho,Imports,62.3
Greenland,Exports,2.4
Canada,Exports,127226.0
St Pierre and Miquelon,Exports,0.5
Mexico,Exports,46292.1
Guatemala,Exports,1646.6
Belize,Exports,99.7
El Salvador,Exports,1110.4
Honduras,Exports,1278.9
Nicaragua,Exports,249.8
Costa Rica,Exports,1736.6
Panama,Exports,1389.6
Bermuda,Exports,298.5
Bahamas,Exports,661.2
Cuba,Exports,5.4
Jamaica,Exports,1420.2
Turks and Caicos Islands,Exports,33.6
Cayman Islands,Exports,180.1
Haiti,Exports,550.1
Dominican Republic,Exports,3014.9
Anguilla,Exports,14.6
British Virgin Islands,Exports,49.2
St Kitts and Nevis,Exports,43.6
Antigua and Barbuda,Exports,97.0
Montserrat,Exports,4.4
Dominica,Exports,26.6
St Lucia,Exports,80.8
St Vincent and the Grenadines,Exports,42.2
Grenada,Exports,26.9
Barbados,Exports,185.6
Trinidad and Tobago,Exports,689.2
Netherlands Antilles,Exports,503.9
Aruba,Exports,247.6
Guadeloupe,Exports,69.1
Martinique,Exports,38.5
Colombia,Exports,4624.4
Venezuela,Exports,4640.4
Guyana,Exports,141.3
Suriname,Exports,189.7
French Guiana,Exports,441.8
Ecuador,Exports,1538.3
Peru,Exports,1775.4
Bolivia,Exports,213.5
Chile,Exports,3614.7
Brazil,Exports,11439.4
Paraguay,Exports,992.4
Uruguay,Exports,395.8
Argentina,Exports,4189.2
Falkland Islands(Islas Malvin,Exports,0.3
Iceland,Exports,170.5
Sweden,Exports,3079.7
"Svalbard, Jan Mayen Island",Exports,1.1
Norway,Exports,1292.9
Finland,Exports,1249.7
Faroe Islands,Exports,0.4
Denmark,Exports,1517.7
United Kingdom,Exports,28856.5
Ireland,Exports,4108.7
Netherlands,Exports,16557.6
Belgium,Exports,12465.6
Luxembourg,Exports,374.2
Andorra,Exports,16.5
Monaco,Exports,9.6
France,Exports,14245.2
Germany,Exports,22394.3
Austria,Exports,2017.0
Czechoslovakia,Exports,0.0
Czech Republic,Exports,362.8
Slovakia,Exports,61.0
Hungary,Exports,295.2
Liechtenstein,Exports,15.1
Switzerland,Exports,6227.4
Estonia,Exports,139.1
Latvia,Exports,89.5
Lithuania,Exports,52.2
Poland,Exports,776.1
USSR,Exports,0.0
Russia,Exports,2823.4
Belarus,Exports,47.9
Ukraine,Exports,223.4
Armenia,Exports,70.3
Azerbaijan,Exports,35.6
Georgia,Exports,95.2
Kazakhstan,Exports,80.9
Kyrgyzstan,Exports,24.6
Moldova,Exports,10.2
Tajikistan,Exports,17.6
Turkmenistan,Exports,34.3
Uzbekistan,Exports,63.4
Spain,Exports,5526.0
Portugal,Exports,898.1
Gibraltar,Exports,18.4
Malta,Exports,106.7
San Marino,Exports,5.7
Vatican City,Exports,0.3
Italy,Exports,8861.6
Yugoslavia (former),Exports,0.0
Croatia,Exports,140.0
Slovenia,Exports,109.6
Bosnia and Herzegovina,Exports,28.3
Macedonia,Exports,21.2
Serbia and Montenegro,Exports,2.1
Albania,Exports,13.5
Greece,Exports,1518.7
Romania,Exports,253.2
Bulgaria,Exports,131.8
Turkey,Exports,2768.0
Cyprus,Exports,257.8
Syria,Exports,223.4
Lebanon,Exports,592.2
Iraq,Exports,0.2
Iran,Exports,277.4
Israel,Exports,0.0
Israel,Exports,5621.0
Gaza Strip admin. by Israel,Exports,0.1
West Bank admin. by Israel,Exports,0.3
Jordan,Exports,335.3
Kuwait,Exports,1437.4
Iraq-Saudi Arabia Neutral Zone,Exports,0.0
Saudi Arabia,Exports,6155.0
Qatar,Exports,226.0
United Arab Emirates,Exports,2006.3
Republic of Yemen,Exports,185.3
Oman,Exports,222.0
Bahrain,Exports,255.1
Afghanistan,Exports,4.0
India,Exports,3295.8
Pakistan,Exports,941.3
Nepal,Exports,9.8
Bangladesh,Exports,325.0
Sri Lanka,Exports,279.1
Burma,Exports,16.2
Thailand,Exports,6665.0
Vietnam,Exports,252.3
Laos,Exports,1.6
Cambodia,Exports,26.9
Malaysia,Exports,8816.1
Singapore,Exports,15333.0
Indonesia,Exports,3359.6
Brunei,Exports,190.1
Philippines,Exports,5294.8
Macau,Exports,29.9
Bhutan,Exports,0.5
Maldives,Exports,1.1
China,Exports,11753.7
Mongolia,Exports,13.9
"Korea, North",Exports,11.6
"Korea, South",Exports,25379.9
Hong Kong,Exports,14231.5
Taiwan,Exports,19289.6
Japan,Exports,64342.7
Australia,Exports,10789.1
Norfolk Island,Exports,1.2
Cocos (Keeling) Islands,Exports,0.5
Christmas Island,Exports,4.5
Heard and McDonald Islands,Exports,0.0
Papua New Guinea,Exports,50.8
New Zealand,Exports,1691.3
Cook Islands,Exports,0.9
Tokelau,Exports,0.1
Niue,Exports,31.5
Samoa,Exports,7.3
Solomon Islands,Exports,2.7
Vanuatu,Exports,1.1
Pitcairn Islands,Exports,2.2
Kiribati,Exports,2.3
Tuvalu,Exports,0.3
New Caledonia,Exports,22.3
Wallis and Futuna,Exports,0.0
French Polynesia,Exports,82.3
Marshall Islands,Exports,31.8
Micronesia,Exports,23.3
Palau,Exports,8.3
Nauru,Exports,0.5
Fiji,Exports,31.8
Tonga,Exports,7.5
Morocco,Exports,517.4
Algeria,Exports,774.1
Tunisia,Exports,214.9
Libya,Exports,0.0
Egypt,Exports,2985.1
Sudan,Exports,43.5
Western Sahara,Exports,0.0
Equatorial Guinea,Exports,5.2
Mauritania,Exports,43.2
Cameroon,Exports,45.6
Senegal,Exports,67.9
Mali,Exports,23.1
Guinea,Exports,66.5
Sierra Leone,Exports,18.1
Cote d'Ivoire,Exports,173.3
Ghana,Exports,167.2
Gambia,Exports,6.1
Niger,Exports,39.6
Togo,Exports,18.5
Nigeria,Exports,602.9
Central African Republic,Exports,6.3
Gabon,Exports,54.5
Chad,Exports,10.8
St Helena,Exports,0.3
Burkina Faso,Exports,14.7
Benin,Exports,34.0
Angola,Exports,259.7
Congo (Brazzaville),Exports,54.8
Guinea-Bissau,Exports,0.8
Cabo Verde,Exports,7.5
Sao Tome and Principe,Exports,1.8
Liberia,Exports,41.7
Congo (Kinshasa),Exports,77.1
Burundi,Exports,2.9
Rwanda,Exports,38.3
Somalia,Exports,8.1
Ethiopia,Exports,0.0
Eritrea,Exports,16.5
Ethiopia,Exports,147.7
Djibouti,Exports,8.5
Uganda,Exports,22.1
Kenya,Exports,114.0
Seychelles,Exports,7.2
British Indian Ocean Terr.,Exports,1.8
Tanzania,Exports,66.2
Mauritius,Exports,24.6
Mozambique,Exports,49.3
Madagascar,Exports,9.8
Comoros,Exports,0.6
Reunion,Exports,3.7
French Southern and Antarctic,Exports,0.0
South Africa,Exports,2750.5
Namibia,Exports,26.5
Botswana,Exports,35.7
Zambia,Exports,48.9
Swaziland,Exports,3.2
Zimbabwe,Exports,122.1
Malawi,Exports,17.8
Lesotho,Exports,1.8
Greenland,Imports,17.255599
Canada,Imports,290384.2932
St Pierre and Miquelon,Imports,1.094378
Mexico,Imports,170108.6141
Guatemala,Imports,3137.382263
Belize,Imports,98.265102
El Salvador,Imports,1988.765718
Honduras,Imports,3749.243099
Nicaragua,Imports,1180.787602
Costa Rica,Imports,3415.279262
Panama,Imports,327.060069
Bermuda,Imports,87.276753
Bahamas,Imports,699.936003
Cuba,Imports,0.009079
Jamaica,Imports,375.57236
Turks and Caicos Islands,Imports,9.434412
Cayman Islands,Imports,53.497875
Haiti,Imports,447.217315
Dominican Republic,Imports,4603.684143
Anguilla,Imports,3.754737
British Virgin Islands,Imports,33.579607
St Kitts and Nevis,Imports,49.718541
Antigua and Barbuda,Imports,4.414365
Montserrat,Imports,0.953906
Dominica,Imports,3.344243
St Lucia,Imports,32.396909
St Vincent and the Grenadines,Imports,15.650342
Grenada,Imports,5.852881
Barbados,Imports,31.903789
Trinidad and Tobago,Imports,7890.88378
Netherlands Antilles,Imports,922.413941
Aruba,Imports,2919.735672
Guadeloupe,Imports,2.128806
Martinique,Imports,22.236488
Colombia,Imports,8849.380048
Venezuela,Imports,33978.13481
Guyana,Imports,119.931261
Suriname,Imports,165.346376
French Guiana,Imports,0.121285
Ecuador,Imports,5758.679346
Peru,Imports,5119.15577
Bolivia,Imports,293.216045
Chile,Imports,6664.333836
Brazil,Imports,24435.51938
Paraguay,Imports,51.645596
