country,category,value
Malawi,Exports,28.049237
Lesotho,Exports,4.015033
Greenland,Imports,3.800273
Canada,Imports,296155.599
St Pierre and Miquelon,Imports,0.18562
Mexico,Imports,296407.9011
Guatemala,Imports,4120.351959
Belize,Imports,75.287339
El Salvador,Imports,2531.699424
Honduras,Imports,4755.934545
Nicaragua,Imports,3188.301535
Costa Rica,Imports,4488.341429
Panama,Imports,408.293396
Bermuda,Imports,108.704684
Bahamas,Imports,452.744256
Cuba,Imports,0.0
Jamaica,Imports,305.978402
Turks and Caicos Islands,Imports,14.710225
Cayman Islands,Imports,97.496341
Haiti,Imports,950.091535
Dominican Republic,Imports,4665.266745
Anguilla,Imports,5.583883
British Virgin Islands,Imports,16.491398
St Kitts and Nevis,Imports,56.753359
Antigua and Barbuda,Imports,6.856395
Montserrat,Imports,2.271534
Dominica,Imports,1.683203
St Lucia,Imports,29.00446
St Vincent and the Grenadines,Imports,1.768076
Grenada,Imports,9.215032
Barbados,Imports,68.174291
Trinidad and Tobago,Imports,4314.344265
Sint Maarten,Imports,51.873445
Curacao,Imports,335.229109
Aruba,Imports,54.90185
Guadeloupe,Imports,4.123528
Martinique,Imports,37.46278
Colombia,Imports,14074.81661
Venezuela,Imports,15564.23275
Guyana,Imports,431.099884
Suriname,Imports,146.224404
French Guiana,Imports,0.042924
Ecuador,Imports,7467.258698
Peru,Imports,5053.337195
Bolivia,Imports,1006.481438
Chile,Imports,8772.414027
Brazil,Imports,27468.23032
Paraguay,Imports,162.023098
Uruguay,Imports,604.746068
Argentina,Imports,3950.849545
Falkland Islands(Islas Malvin,Imports,14.273948
Iceland,Imports,316.534176
Sweden,Imports,9878.966413
"Svalbard, Jan Mayen Island",Imports,0.028231
Norway,Imports,4760.200206
Finland,Imports,4506.071121
Faroe Islands,Imports,97.897991
Denmark,Imports,7760.022813
United Kingdom,Imports,57962.25131
Ireland,Imports,39336.18067
Netherlands,Imports,16835.61486
Belgium,Imports,19482.27263
Luxembourg,Imports,639.038795
Andorra,Imports,4.863157
Monaco,Imports,58.818337
France,Imports,47815.32286
Germany,Imports,124820.4692
Austria,Imports,11311.97506
Czech Republic,Imports,4497.634904
Slovakia,Imports,2299.822999
Hungary,Imports,5721.266311
Liechtenstein,Imports,310.294941
Switzerland,Imports,31396.66041
Estonia,Imports,503.50072
Latvia,Imports,302.969587
Lithuania,Imports,1059.366349
Poland,Imports,5637.927607
Russia,Imports,16366.16158
Belarus,Imports,158.249733
Ukraine,Imports,850.788858
Armenia,Imports,62.46349
Azerbaijan,Imports,507.148173
Georgia,Imports,181.150349
Kazakhstan,Imports,816.099815
Kyrgyzstan,Imports,15.803561
Moldova,Imports,43.920552
Tajikistan,Imports,31.123801
Turkmenistan,Imports,55.976778
Uzbekistan,Imports,9.715446
Spain,Imports,14129.84151
Portugal,Imports,3271.009123
Gibraltar,Imports,1.82442
Malta,Imports,241.219869
San Marino,Imports,8.517198
Vatican City,Imports,1.218395
Italy,Imports,44159.01154
Croatia,Imports,576.891578
Slovenia,Imports,678.110689
Bosnia and Herzegovina,Imports,78.282267
Macedonia,Imports,203.357353
Serbia,Imports,272.617662
Kosovo,Imports,2.38298
Montenegro,Imports,2.108687
Albania,Imports,160.081219
Greece,Imports,1356.447796
Romania,Imports,2148.841567
Bulgaria,Imports,597.694693
Turkey,Imports,7880.91386
Cyprus,Imports,31.98822
Syria,Imports,6.544106
Lebanon,Imports,93.219618
Iraq,Imports,4353.472677
Iran,Imports,10.766314
Israel,Imports,24477.02161
Gaza Strip admin. by Israel,Imports,0.012534
West Bank admin. by Israel,Imports,5.435229
Jordan,Imports,1491.618691
Kuwait,Imports,4684.750276
Saudi Arabia,Imports,22080.78482
Qatar,Imports,1354.237789
United Arab Emirates,Imports,2468.033306
Republic of Yemen,Imports,48.270876
Oman,Imports,906.993161
Bahrain,Imports,902.425581
Afghanistan,Imports,23.454045
India,Imports,44791.64405
Pakistan,Imports,3701.018609
Nepal,Imports,86.959805
Bangladesh,Imports,5991.251839
Sri Lanka,Imports,2889.92219
Burma,Imports,143.796881
Thailand,Imports,28631.93281
Vietnam,Imports,38019.69623
Laos,Imports,45.189001
Cambodia,Imports,3025.433126
Malaysia,Imports,33970.67872
Singapore,Imports,18267.48494
Indonesia,Imports,19601.54814
East Timor,Imports,3.302038
Brunei,Imports,19.402766
Philippines,Imports,10233.69067
Macau,Imports,121.919528
Bhutan,Imports,3.398158
Maldives,Imports,21.737873
China,Imports,483244.7019
Mongolia,Imports,17.222375
"Korea, North",Imports,0.0
"Korea, South",Imports,71758.69672
Hong Kong,Imports,6795.630644
Taiwan,Imports,40907.5936
Japan,Imports,131364.1476
Australia,Imports,10894.02186
Norfolk Island,Imports,1.217241
Cocos (Keeling) Islands,Imports,3.809085
Christmas Island,Imports,2.12084
Heard and McDonald Islands,Imports,0.006734
Papua New Guinea,Imports,90.809528
New Zealand,Imports,4292.770709
Cook Islands,Imports,0.84788
Tokelau,Imports,1.848379
Niue,Imports,0.531806
Samoa,Imports,4.220542
Solomon Islands,Imports,3.521953
Vanuatu,Imports,3.67132
Pitcairn Islands,Imports,0.012162
Kiribati,Imports,2.728752
Tuvalu,Imports,0.228118
New Caledonia,Imports,47.038156
Wallis and Futuna,Imports,0.093303
French Polynesia,Imports,43.030557
Marshall Islands,Imports,29.067047
Micronesia,Imports,0.717108
Palau,Imports,0.544832
Nauru,Imports,0.52087
Fiji,Imports,202.639037
Tonga,Imports,2.442895
Morocco,Imports,1011.85636
Algeria,Imports,3371.552526
Tunisia,Imports,546.271256
Libya,Imports,155.103895
Egypt,Imports,1405.853699
Sudan,Imports,8.973253
South Sudan,Imports,0.192583
Western Sahara,Imports,0.044063
Equatorial Guinea,Imports,163.14305
Mauritania,Imports,1.173847
Cameroon,Imports,132.053379
Senegal,Imports,71.965108
Mali,Imports,4.504283
Guinea,Imports,79.616516
Sierra Leone,Imports,39.58921
Cote d'Ivoire,Imports,1027.88557
Ghana,Imports,309.36766
Gambia,Imports,0.896754
Niger,Imports,4.184625
Togo,Imports,14.211452
Nigeria,Imports,1915.80016
Central African Republic,Imports,3.12467
Gabon,Imports,337.024529
Chad,Imports,1303.322183
St Helena,Imports,15.340188
Burkina Faso,Imports,3.592979
Benin,Imports,4.94488
Angola,Imports,2806.494883
Congo (Brazzaville),Imports,304.303884
Guinea-Bissau,Imports,0.05184
Cabo Verde,Imports,2.21905
Sao Tome and Principe,Imports,0.773369
Liberia,Imports,44.940717
Congo (Kinshasa),Imports,153.738045
Burundi,Imports,8.427001
Rwanda,Imports,45.643909
Somalia,Imports,0.896112
Eritrea,Imports,0.106871
Ethiopia,Imports,310.269077
Djibouti,Imports,35.463684
Uganda,Imports,64.123855
Kenya,Imports,573.095415
Seychelles,Imports,5.83899
British Indian Ocean Terr.,Imports,15.818366
Tanzania,Imports,104.93518
Mauritius,Imports,395.664813
Mozambique,Imports,96.026702
Madagascar,Imports,319.783011
Mayotte,Imports,0.095927
Comoros,Imports,1.211821
Reunion,Imports,16.967288
French Southern and Antarctic,Imports,0.013953
South Africa,Imports,7314.612701
Namibia,Imports,85.353831
Botswana,Imports,211.913954
Zambia,Imports,47.114386
Swaziland,Imports,21.49843
Zimbabwe,Imports,67.166669
Malawi,Imports,61.395881
Lesotho,Imports,331.955607
Greenland,Exports,8.076839
Canada,Exports,280609.0056
St Pierre and Miquelon,Exports,0.227459
Mexico,Exports,235745.1375
Guatemala,Exports,5806.713895
Belize,Exports,285.240264
El Salvador,Exports,3240.284878
Honduras,Exports,5214.668234
Nicaragua,Exports,1267.532561
Costa Rica,Exports,6079.415736
Panama,Exports,7663.548283
Bermuda,Exports,600.945255
Bahamas,Exports,2386.461864
Cuba,Exports,180.215206
Jamaica,Exports,1716.030814
Turks and Caicos Islands,Exports,279.728597
Cayman Islands,Exports,684.947958
Haiti,Exports,1140.574185
Dominican Republic,Exports,7113.829302
Anguilla,Exports,47.602633
British Virgin Islands,Exports,259.758571
St Kitts and Nevis,Exports,149.707108
Antigua and Barbuda,Exports,677.657633
Montserrat,Exports,6.640011
Dominica,Exports,67.312046
St Lucia,Exports,510.811024
St Vincent and the Grenadines,Exports,84.722498
Grenada,Exports,90.420149
Barbados,Exports,595.966307
Trinidad and Tobago,Exports,2511.195111
Sint Maarten,Exports,741.201231
Curacao,Exports,522.079698
Aruba,Exports,1167.632524
Guadeloupe,Exports,100.959536
Martinique,Exports,119.577165
Colombia,Exports,16286.7799
Venezuela,Exports,8345.880233
Guyana,Exports,368.129666
Suriname,Exports,443.643313
French Guiana,Exports,1073.642767
Ecuador,Exports,5794.812688
Peru,Exports,8725.607473
Bolivia,Exports,931.431709
Chile,Exports,15445.13797
Brazil,Exports,31650.62387
Paraguay,Exports,1514.300292
Uruguay,Exports,1295.148749
Argentina,Exports,9341.210651
Falkland Islands(Islas Malvin,Exports,2.917708
Iceland,Exports,415.45785
Sweden,Exports,3940.8105
"Svalbard, Jan Mayen Island",Exports,0.380164
Norway,Exports,3570.63315
Finland,Exports,1558.146898
Faroe Islands,Exports,2.336863
Denmark,Exports,2202.093582
United Kingdom,Exports,56114.61886
Ireland,Exports,8930.773509
Netherlands,Exports,40196.15629
Belgium,Exports,34159.97966
Luxembourg,Exports,1394.17473
Andorra,Exports,3.336817
Monaco,Exports,71.128048
France,Exports,30103.5212
Germany,Exports,49970.80411
Austria,Exports,4024.435888
Czech Republic,Exports,1976.037865
Slovakia,Exports,379.469169
Hungary,Exports,1715.278037
Liechtenstein,Exports,35.930552
Switzerland,Exports,22185.27991
Estonia,Exports,288.143789
Latvia,Exports,294.787977
Lithuania,Exports,527.67763
Poland,Exports,3715.441301
Russia,Exports,7087.111574
Belarus,Exports,59.235752
Ukraine,Exports,862.088348
Armenia,Exports,50.24617
Azerbaijan,Exports,477.316108
Georgia,Exports,340.502111
Kazakhstan,Exports,510.479071
Kyrgyzstan,Exports,32.003481
Moldova,Exports,16.163682
Tajikistan,Exports,18.985373
Turkmenistan,Exports,80.839805
Uzbekistan,Exports,137.962928
Spain,Exports,10310.27052
Portugal,Exports,942.466275
Gibraltar,Exports,1972.99261
Malta,Exports,490.660579
San Marino,Exports,5.011879
Vatican City,Exports,2.226547
Italy,Exports,16204.22609
Croatia,Exports,331.976272
Slovenia,Exports,346.040192
Bosnia and Herzegovina,Exports,27.586061
Macedonia,Exports,30.678977
Serbia,Exports,126.25142
Kosovo,Exports,19.743318
Montenegro,Exports,11.133957
Albania,Exports,30.952665
Greece,Exports,725.699147
Romania,Exports,753.718827
Bulgaria,Exports,289.09201
Turkey,Exports,9502.498123
Cyprus,Exports,101.831614
Syria,Exports,3.072304
Lebanon,Exports,1272.487166
Iraq,Exports,1971.478767
Iran,Exports,281.512074
Israel,Exports,13538.69482
Gaza Strip admin. by Israel,Exports,0.183934
West Bank admin. by Israel,Exports,0.903282
Jordan,Exports,1358.977191
Kuwait,Exports,2739.289578
Saudi Arabia,Exports,19738.98459
Qatar,Exports,4222.426394
United Arab Emirates,Exports,23003.59562
Republic of Yemen,Exports,158.039977
Oman,Exports,2355.271013
Bahrain,Exports,1270.662445
Afghanistan,Exports,478.851271
India,Exports,21451.87992
Pakistan,Exports,1837.506933
Nepal,Exports,36.405446
Bangladesh,Exports,942.540067
Sri Lanka,Exports,361.920786
Burma,Exports,227.140755
Thailand,Exports,11230.56974
Vietnam,Exports,7087.524038
Laos,Exports,24.584007
Cambodia,Exports,391.045876
Malaysia,Exports,12277.22614
Singapore,Exports,28472.07098
Indonesia,Exports,7120.940688
East Timor,Exports,2.690584
Brunei,Exports,133.449998
Philippines,Exports,7907.893167
Macau,Exports,542.354584
Bhutan,Exports,2.64104
Maldives,Exports,35.143208
China,Exports,116071.7696
Mongolia,Exports,69.161103
"Korea, North",Exports,4.751721
"Korea, South",Exports,43445.54748
Hong Kong,Exports,37167.02295
Taiwan,Exports,25860.08634
Japan,Exports,62442.64646
Australia,Exports,25035.79015
Norfolk Island,Exports,0.350312
Cocos (Keeling) Islands,Exports,0.55762
Christmas Island,Exports,1.551179
Heard and McDonald Islands,Exports,0.913419
Papua New Guinea,Exports,207.793894
New Zealand,Exports,3631.061903
Cook Islands,Exports,4.249826
Tokelau,Exports,0.341222
Niue,Exports,0.071371
Samoa,Exports,22.71966
Solomon Islands,Exports,5.861309
Vanuatu,Exports,5.867876
Pitcairn Islands,Exports,0.017405
Kiribati,Exports,7.320835
Tuvalu,Exports,0.625636
New Caledonia,Exports,88.651277
Wallis and Futuna,Exports,0.376841
French Polynesia,Exports,120.047865
Marshall Islands,Exports,53.912135
Micronesia,Exports,40.032614
Palau,Exports,25.693198
Nauru,Exports,1.73365
Fiji,Exports,56.904585
Tonga,Exports,13.817538
Morocco,Exports,1625.204959
Algeria,Exports,1875.734479
Tunisia,Exports,602.412017
Libya,Exports,242.951645
Egypt,Exports,4752.983685
Sudan,Exports,59.514997
South Sudan,Exports,19.613532
Western Sahara,Exports,0.032113
Equatorial Guinea,Exports,161.964373
Mauritania,Exports,126.280667
Cameroon,Exports,224.961698
Senegal,Exports,196.428411
Mali,Exports,72.426079
Guinea,Exports,135.350114
Sierra Leone,Exports,77.325724
Cote d'Ivoire,Exports,266.335569
Ghana,Exports,949.913963
Gambia,Exports,37.899622
Niger,Exports,71.493157
Togo,Exports,311.819809
Nigeria,Exports,3437.952784
Central African Republic,Exports,34.309874
Gabon,Exports,203.872443
Chad,Exports,56.591528
St Helena,Exports,3.720487
Burkina Faso,Exports,53.875343
Benin,Exports,631.462518
Angola,Exports,1166.161667
Congo (Brazzaville),Exports,249.220232
Guinea-Bissau,Exports,2.13532
Cabo Verde,Exports,7.32166
Sao Tome and Principe,Exports,0.853963
Liberia,Exports,135.807551
Congo (Kinshasa),Exports,136.189374
Burundi,Exports,5.650192
Rwanda,Exports,14.28771
Somalia,Exports,45.026584
Eritrea,Exports,3.497538
Ethiopia,Exports,1555.249376
Djibouti,Exports,144.711021
Uganda,Exports,88.315069
Kenya,Exports,943.436657
Seychelles,Exports,18.542809
British Indian Ocean Terr.,Exports,0.581016
Tanzania,Exports,172.803054
Mauritius,Exports,58.435311
Mozambique,Exports,264.203995
Madagascar,Exports,54.553731
Mayotte,Exports,5.697333
Comoros,Exports,1.507078
Reunion,Exports,6.905271
French Southern and Antarctic,Exports,8.026602
South Africa,Exports,5458.29362
Namibia,Exports,127.603603
Botswana,Exports,39.04197
Zambia,Exports,84.170835
Swaziland,Exports,28.521751
Zimbabwe,Exports,37.834783
Malawi,Exports,37.201602
Lesotho,Exports,0.881897
Canada,Imports,69006.4
Mexico,Imports,19131.7
Guatemala,Imports,409.0
El Salvador,Imports,395.6
Honduras,Imports,375.4
Costa Rica,Imports,501.3
Panama,Imports,410.6
Bahamas,Imports,626.3
Jamaica,Imports,272.7
Haiti,Imports,389.6
Dominican Republic,Imports,982.3
Trinidad and Tobago,Imports,1258.4
Netherlands Antilles,Imports,808.0
Colombia,Imports,1330.7
Venezuela,Imports,6537.1
Ecuador,Imports,1836.5
Peru,Imports,1086.6
Chile,Imports,745.2
Brazil,Imports,7526.2
Paraguay,Imports,23.6
Uruguay,Imports,556.6
Argentina,Imports,1069.3
Iceland,Imports,247.8
Sweden,Imports,4123.7
Norway,Imports,1164.3
Finland,Imports,895.2
Denmark,Imports,1664.4
United Kingdom,Imports,14937.2
Ireland,Imports,901.1
Netherlands,Imports,4081.3
Belgium,Imports,3355.2
France,Imports,9482.0
Germany,Imports,20239.2
Austria,Imports,833.7
Hungary,Imports,218.3
Switzerland,Imports,3476.1
Poland,Imports,220.2
USSR,Imports,408.5
Spain,Imports,2515.2
Portugal,Imports,546.0
Italy,Imports,9673.8
Yugoslavia (former),Imports,542.2
Greece,Imports,394.7
Turkey,Imports,601.9
Iran,Imports,725.1
Israel,Imports,2122.5
Kuwait,Imports,184.0
Saudi Arabia,Imports,1907.1
United Arab Emirates,Imports,671.0
Bahrain,Imports,83.3
India,Imports,2294.7
Pakistan,Imports,273.9
Bangladesh,Imports,196.0
Sri Lanka,Imports,281.9
Thailand,Imports,1428.3
Malaysia,Imports,2299.9
Singapore,Imports,4259.9
Indonesia,Imports,4568.9
Philippines,Imports,2145.0
Macau,Imports,341.9
China,Imports,3861.7
"Korea, South",Imports,10013.3
Hong Kong,Imports,8396.4
Taiwan,Imports,16396.3
Japan,Imports,68782.9
Australia,Imports,2836.3
New Zealand,Imports,857.0
Algeria,Imports,2333.0
Egypt,Imports,79.1
Cote d'Ivoire,Imports,524.8
Nigeria,Imports,3001.9
Gabon,Imports,501.9
Angola,Imports,1053.6
Congo (Brazzaville),Imports,609.3
Congo (Kinshasa),Imports,400.7
South Africa,Imports,2070.9
Canada,Exports,47251.0
Mexico,Exports,13634.7
Guatemala,Exports,404.6
El Salvador,Exports,445.5
Honduras,Exports,307.9
Costa Rica,Exports,421.7
Panama,Exports,674.8
Bahamas,Exports,786.3
Jamaica,Exports,404.3
Haiti,Exports,395.9
Dominican Republic,Exports,742.0
Trinidad and Tobago,Exports,503.7
Netherlands Antilles,Exports,427.5
Colombia,Exports,1467.7
Venezuela,Exports,3399.4
Ecuador,Exports,591.1
Peru,Exports,495.9
Chile,Exports,682.2
Brazil,Exports,3139.6
Paraguay,Exports,98.9
Uruguay,Exports,64.3
Argentina,Exports,721.3
Iceland,Exports,38.0
Sweden,Exports,1924.9
Norway,Exports,665.9
Finland,Exports,437.7
Denmark,Exports,705.7
United Kingdom,Exports,11272.8
Ireland,Exports,1341.8
Netherlands,Exports,7269.0
Belgium,Exports,4917.7
France,Exports,6095.6
Germany,Exports,9050.2
Austria,Exports,441.2
Hungary,Exports,94.5
Switzerland,Exports,2287.7
Poland,Exports,237.9
USSR,Exports,2422.8
Spain,Exports,2524.1
Portugal,Exports,694.5
Italy,Exports,4625.2
Yugoslavia (former),Exports,594.7
Greece,Exports,497.8
Turkey,Exports,1294.6
Iran,Exports,73.9
Israel,Exports,2579.6
Kuwait,Exports,550.6
Saudi Arabia,Exports,4474.3
United Arab Emirates,Exports,596.5
Bahrain,Exports,107.0
India,Exports,1641.9
Pakistan,Exports,1041.7
Bangladesh,Exports,218.9
Sri Lanka,Exports,72.8
Thailand,Exports,849.1
Malaysia,Exports,1539.2
Singapore,Exports,3475.6
Indonesia,Exports,795.0
Philippines,Exports,1379.3
Macau,Exports,1.1
China,Exports,3855.7
"Korea, South",Exports,5956.3
Hong Kong,Exports,2785.9
Taiwan,Exports,4700.0
Japan,Exports,22630.9
Australia,Exports,5440.4
New Zealand,Exports,727.5
Algeria,Exports,430.1
Egypt,Exports,2322.6
Cote d'Ivoire,Exports,69.7
Nigeria,Exports,675.7
Gabon,Exports,91.2
Angola,Exports,136.9
Congo (Brazzaville),Exports,19.4
Congo (Kinshasa),Exports,101.5
South Africa,Exports,1205.0
