country,venue,medals
Liechtenstein,1924 Chamonix,0
Liechtenstein,1928 St. Moritz,0
Liechtenstein,1932 Lake Placid,0
Liechtenstein,1935 Garmisch-Partenkirchen,0
Liechtenstein,1940 Cancelled (Sapporo),0
Liechtenstein,1944 Cancelled (Cortina d'Ampezzo),0
Liechtenstein,1948 St. Moritz,0
Liechtenstein,1952 Oslo,0
Liechtenstein,1056 Cortina d'Ampezzo,0
Liechtenstein,1960 Squaw Valley,0
Liechtenstein,1964 Innsbruck,0
Liechtenstein,1968 Grenoble,0
Liechtenstein,1972 Sapporo,0
Liechtenstein,1976 Innsbruck,0
Liechtenstein,1980 Lake Placid,2
Liechtenstein,1984 Sarajevo,4
Liechtenstein,1988 Calgary,2
Liechtenstein,1992 Albertville,1
Liechtenstein,1994 Lillehammer,0
Liechtenstein,1998 Nagano,0
Liechtenstein,2002 Salt Lake City,0
Liechtenstein,2006 Turin,0
Liechtenstein,2010 Vancouver,0
Liechtenstein,2014 Sochi,0
Yugoslavia,1924 Chamonix,0
Yugoslavia,1928 St. Moritz,0
Yugoslavia,1932 Lake Placid,0
Yugoslavia,1935 Garmisch-Partenkirchen,0
Yugoslavia,1940 Cancelled (Sapporo),0
Yugoslavia,1944 Cancelled (Cortina d'Ampezzo),0
Yugoslavia,1948 St. Moritz,0
Yugoslavia,1952 Oslo,0
Yugoslavia,1056 Cortina d'Ampezzo,0
Yugoslavia,1960 Squaw Valley,0
Yugoslavia,1964 Innsbruck,0
Yugoslavia,1968 Grenoble,0
Yugoslavia,1972 Sapporo,0
Yugoslavia,1976 Innsbruck,0
Yugoslavia,1980 Lake Placid,0
Yugoslavia,1984 Sarajevo,0
Yugoslavia,1988 Calgary,1
Yugoslavia,1992 Albertville,3
Yugoslavia,1994 Lillehammer,0
Yugoslavia,1998 Nagano,0
Yugoslavia,2002 Salt Lake City,0
Yugoslavia,2006 Turin,0
Yugoslavia,2010 Vancouver,0
Yugoslavia,2014 Sochi,0
Luxembourg,1924 Chamonix,0
Luxembourg,1928 St. Moritz,0
Luxembourg,1932 Lake Placid,0
Luxembourg,1935 Garmisch-Partenkirchen,0
Luxembourg,1940 Cancelled (Sapporo),0
Luxembourg,1944 Cancelled (Cortina d'Ampezzo),0
Luxembourg,1948 St. Moritz,0
Luxembourg,1952 Oslo,0
Luxembourg,1056 Cortina d'Ampezzo,0
Luxembourg,1960 Squaw Valley,0
Luxembourg,1964 Innsbruck,0
Luxembourg,1968 Grenoble,0
Luxembourg,1972 Sapporo,0
Luxembourg,1976 Innsbruck,0
Luxembourg,1980 Lake Placid,0
Luxembourg,1984 Sarajevo,0
Luxembourg,1988 Calgary,0
Luxembourg,1992 Albertville,0
Luxembourg,1994 Lillehammer,2
Luxembourg,1998 Nagano,0
Luxembourg,2002 Salt Lake City,0
Luxembourg,2006 Turin,0
Luxembourg,2010 Vancouver,0
Luxembourg,2014 Sochi,0
New Zealand,1924 Chamonix,0
New Zealand,1928 St. Moritz,0
New Zealand,1932 Lake Placid,0
New Zealand,1935 Garmisch-Partenkirchen,0
New Zealand,1940 Cancelled (Sapporo),0
New Zealand,1944 Cancelled (Cortina d'Ampezzo),0
New Zealand,1948 St. Moritz,0
New Zealand,1952 Oslo,0
New Zealand,1056 Cortina d'Ampezzo,0
New Zealand,1960 Squaw Valley,0
New Zealand,1964 Innsbruck,0
New Zealand,1968 Grenoble,0
New Zealand,1972 Sapporo,0
New Zealand,1976 Innsbruck,0
New Zealand,1980 Lake Placid,0
New Zealand,1984 Sarajevo,0
New Zealand,1988 Calgary,0
New Zealand,1992 Albertville,0
New Zealand,1994 Lillehammer,1
New Zealand,1998 Nagano,0
New Zealand,2002 Salt Lake City,0
New Zealand,2006 Turin,0
New Zealand,2010 Vancouver,0
New Zealand,2014 Sochi,0
North Korea,1924 Chamonix,0
North Korea,1928 St. Moritz,0
North Korea,1932 Lake Placid,0
North Korea,1935 Garmisch-Partenkirchen,0
North Korea,1940 Cancelled (Sapporo),0
North Korea,1944 Cancelled (Cortina d'Ampezzo),0
North Korea,1948 St. Moritz,0
North Korea,1952 Oslo,0
North Korea,1056 Cortina d'Ampezzo,0
North Korea,1960 Squaw Valley,0
North Korea,1964 Innsbruck,0
North Korea,1968 Grenoble,1
North Korea,1972 Sapporo,0
North Korea,1976 Innsbruck,0
North Korea,1980 Lake Placid,0
North Korea,1984 Sarajevo,0
North Korea,1988 Calgary,0
North Korea,1992 Albertville,0
North Korea,1994 Lillehammer,1
North Korea,1998 Nagano,0
North Korea,2002 Salt Lake City,0
North Korea,2006 Turin,0
North Korea,2010 Vancouver,0
North Korea,2014 Sochi,0
Slovakia,1924 Chamonix,0
Slovakia,1928 St. Moritz,0
Slovakia,1932 Lake Placid,0
Slovakia,1935 Garmisch-Partenkirchen,0
Slovakia,1940 Cancelled (Sapporo),0
Slovakia,1944 Cancelled (Cortina d'Ampezzo),0
Slovakia,1948 St. Moritz,0
Slovakia,1952 Oslo,0
Slovakia,1056 Cortina d'Ampezzo,0
Slovakia,1960 Squaw Valley,0
Slovakia,1964 Innsbruck,0
Slovakia,1968 Grenoble,0
Slovakia,1972 Sapporo,0
Slovakia,1976 Innsbruck,0
Slovakia,1980 Lake Placid,0
Slovakia,1984 Sarajevo,0
Slovakia,1988 Calgary,0
Slovakia,1992 Albertville,0
Slovakia,1994 Lillehammer,0
Slovakia,1998 Nagano,0
Slovakia,2002 Salt Lake City,0
Slovakia,2006 Turin,0
Slovakia,2010 Vancouver,1
Slovakia,2014 Sochi,3
Croatia,1924 Chamonix,0
Croatia,1928 St. Moritz,0
Croatia,1932 Lake Placid,0
Croatia,1935 Garmisch-Partenkirchen,0
Croatia,1940 Cancelled (Sapporo),0
Croatia,1944 Cancelled (Cortina d'Ampezzo),0
Croatia,1948 St. Moritz,0
Croatia,1952 Oslo,0
Croatia,1056 Cortina d'Ampezzo,0
Croatia,1960 Squaw Valley,0
Croatia,1964 Innsbruck,0
Croatia,1968 Grenoble,0
Croatia,1972 Sapporo,0
Croatia,1976 Innsbruck,0
Croatia,1980 Lake Placid,0
Croatia,1984 Sarajevo,0
Croatia,1988 Calgary,0
Croatia,1992 Albertville,0
Croatia,1994 Lillehammer,0
Croatia,1998 Nagano,0
Croatia,2002 Salt Lake City,0
Croatia,2006 Turin,4
Croatia,2010 Vancouver,3
Croatia,2014 Sochi,3
Slovenia,1924 Chamonix,0
Slovenia,1928 St. Moritz,0
Slovenia,1932 Lake Placid,0
Slovenia,1935 Garmisch-Partenkirchen,0
Slovenia,1940 Cancelled (Sapporo),0
Slovenia,1944 Cancelled (Cortina d'Ampezzo),0
Slovenia,1948 St. Moritz,0
Slovenia,1952 Oslo,0
Slovenia,1056 Cortina d'Ampezzo,0
Slovenia,1960 Squaw Valley,0
Slovenia,1964 Innsbruck,0
Slovenia,1968 Grenoble,0
Slovenia,1972 Sapporo,0
Slovenia,1976 Innsbruck,0
Slovenia,1980 Lake Placid,0
Slovenia,1984 Sarajevo,0
Slovenia,1988 Calgary,0
Slovenia,1992 Albertville,0
Slovenia,1994 Lillehammer,0
Slovenia,1998 Nagano,3
Slovenia,2002 Salt Lake City,0
Slovenia,2006 Turin,1
Slovenia,2010 Vancouver,0
Slovenia,2014 Sochi,3
Latvia,1924 Chamonix,0
Latvia,1928 St. Moritz,0
Latvia,1932 Lake Placid,0
Latvia,1935 Garmisch-Partenkirchen,0
Latvia,1940 Cancelled (Sapporo),0
Latvia,1944 Cancelled (Cortina d'Ampezzo),0
Latvia,1948 St. Moritz,0
Latvia,1952 Oslo,0
Latvia,1056 Cortina d'Ampezzo,0
Latvia,1960 Squaw Valley,0
Latvia,1964 Innsbruck,0
Latvia,1968 Grenoble,0
Latvia,1972 Sapporo,0
Latvia,1976 Innsbruck,0
Latvia,1980 Lake Placid,0
Latvia,1984 Sarajevo,0
Latvia,1988 Calgary,0
Latvia,1992 Albertville,0
Latvia,1994 Lillehammer,0
Latvia,1998 Nagano,0
Latvia,2002 Salt Lake City,0
Latvia,2006 Turin,0
Latvia,2010 Vancouver,1
Latvia,2014 Sochi,2
Estonia,1924 Chamonix,0
Estonia,1928 St. Moritz,0
Estonia,1932 Lake Placid,0
Estonia,1935 Garmisch-Partenkirchen,0
Estonia,1940 Cancelled (Sapporo),0
Estonia,1944 Cancelled (Cortina d'Ampezzo),0
Estonia,1948 St. Moritz,0
Estonia,1952 Oslo,0
Estonia,1056 Cortina d'Ampezzo,0
Estonia,1960 Squaw Valley,0
Estonia,1964 Innsbruck,0
Estonia,1968 Grenoble,0
Estonia,1972 Sapporo,0
Estonia,1976 Innsbruck,0
Estonia,1980 Lake Placid,0
Estonia,1984 Sarajevo,0
Estonia,1988 Calgary,0
Estonia,1992 Albertville,0
Estonia,1994 Lillehammer,0
Estonia,1998 Nagano,0
Estonia,2002 Salt Lake City,0
Estonia,2006 Turin,3
Estonia,2010 Vancouver,3
Estonia,2014 Sochi,1
Uzbekistan,1924 Chamonix,0
Uzbekistan,1928 St. Moritz,0
Uzbekistan,1932 Lake Placid,0
Uzbekistan,1935 Garmisch-Partenkirchen,0
Uzbekistan,1940 Cancelled (Sapporo),0
Uzbekistan,1944 Cancelled (Cortina d'Ampezzo),0
Uzbekistan,1948 St. Moritz,0
Uzbekistan,1952 Oslo,0
Uzbekistan,1056 Cortina d'Ampezzo,0
Uzbekistan,1960 Squaw Valley,0
Uzbekistan,1964 Innsbruck,0
Uzbekistan,1968 Grenoble,0
Uzbekistan,1972 Sapporo,0
Uzbekistan,1976 Innsbruck,0
Uzbekistan,1980 Lake Placid,0
Uzbekistan,1984 Sarajevo,0
Uzbekistan,1988 Calgary,0
Uzbekistan,1992 Albertville,0
Uzbekistan,1994 Lillehammer,0
Uzbekistan,1998 Nagano,1
Uzbekistan,2002 Salt Lake City,0
Uzbekistan,2006 Turin,0
Uzbekistan,2010 Vancouver,0
Uzbekistan,2014 Sochi,0
