country,venue,medals
West Germany,1992 Albertville,8
West Germany,1994 Lillehammer,0
West Germany,1998 Nagano,0
West Germany,2002 Salt Lake City,0
West Germany,2006 Turin,0
West Germany,2010 Vancouver,0
West Germany,2014 Sochi,0
Germany,1924 Chamonix,0
Germany,1928 St. Moritz,0
Germany,1932 Lake Placid,1
Germany,1935 Garmisch-Partenkirchen,2
Germany,1940 Cancelled (Sapporo),6
Germany,1944 Cancelled (Cortina d'Ampezzo),0
Germany,1948 St. Moritz,0
Germany,1952 Oslo,0
Germany,1056 Cortina d'Ampezzo,7
Germany,1960 Squaw Valley,2
Germany,1964 Innsbruck,8
Germany,1968 Grenoble,9
Germany,1972 Sapporo,0
Germany,1976 Innsbruck,0
Germany,1980 Lake Placid,0
Germany,1984 Sarajevo,0
Germany,1988 Calgary,0
Germany,1992 Albertville,0
Germany,1994 Lillehammer,26
Germany,1998 Nagano,24
Germany,2002 Salt Lake City,29
Germany,2006 Turin,36
Germany,2010 Vancouver,29
Germany,2014 Sochi,30
Netherlands,1924 Chamonix,0
Netherlands,1928 St. Moritz,0
Netherlands,1932 Lake Placid,0
Netherlands,1935 Garmisch-Partenkirchen,0
Netherlands,1940 Cancelled (Sapporo),0
Netherlands,1944 Cancelled (Cortina d'Ampezzo),0
Netherlands,1948 St. Moritz,0
Netherlands,1952 Oslo,0
Netherlands,1056 Cortina d'Ampezzo,3
Netherlands,1960 Squaw Valley,0
Netherlands,1964 Innsbruck,2
Netherlands,1968 Grenoble,2
Netherlands,1972 Sapporo,9
Netherlands,1976 Innsbruck,9
Netherlands,1980 Lake Placid,6
Netherlands,1984 Sarajevo,4
Netherlands,1988 Calgary,0
Netherlands,1992 Albertville,7
Netherlands,1994 Lillehammer,4
Netherlands,1998 Nagano,4
Netherlands,2002 Salt Lake City,11
Netherlands,2006 Turin,8
Netherlands,2010 Vancouver,9
Netherlands,2014 Sochi,8
Italy,1924 Chamonix,0
Italy,1928 St. Moritz,0
Italy,1932 Lake Placid,0
Italy,1935 Garmisch-Partenkirchen,0
Italy,1940 Cancelled (Sapporo),0
Italy,1944 Cancelled (Cortina d'Ampezzo),0
Italy,1948 St. Moritz,0
Italy,1952 Oslo,1
Italy,1056 Cortina d'Ampezzo,2
Italy,1960 Squaw Valley,3
Italy,1964 Innsbruck,1
Italy,1968 Grenoble,4
Italy,1972 Sapporo,4
Italy,1976 Innsbruck,5
Italy,1980 Lake Placid,4
Italy,1984 Sarajevo,2
Italy,1988 Calgary,2
Italy,1992 Albertville,5
Italy,1994 Lillehammer,14
Italy,1998 Nagano,20
Italy,2002 Salt Lake City,10
Italy,2006 Turin,13
Italy,2010 Vancouver,11
Italy,2014 Sochi,5
Canada,1924 Chamonix,0
Canada,1928 St. Moritz,1
Canada,1932 Lake Placid,1
Canada,1935 Garmisch-Partenkirchen,7
Canada,1940 Cancelled (Sapporo),1
Canada,1944 Cancelled (Cortina d'Ampezzo),0
Canada,1948 St. Moritz,0
Canada,1952 Oslo,3
Canada,1056 Cortina d'Ampezzo,2
Canada,1960 Squaw Valley,3
Canada,1964 Innsbruck,4
Canada,1968 Grenoble,3
Canada,1972 Sapporo,3
Canada,1976 Innsbruck,1
Canada,1980 Lake Placid,3
Canada,1984 Sarajevo,2
Canada,1988 Calgary,4
Canada,1992 Albertville,5
Canada,1994 Lillehammer,7
Canada,1998 Nagano,13
Canada,2002 Salt Lake City,15
Canada,2006 Turin,17
Canada,2010 Vancouver,24
Canada,2014 Sochi,26
Switzerland,1924 Chamonix,0
Switzerland,1928 St. Moritz,3
Switzerland,1932 Lake Placid,1
Switzerland,1935 Garmisch-Partenkirchen,1
Switzerland,1940 Cancelled (Sapporo),3
Switzerland,1944 Cancelled (Cortina d'Ampezzo),0
Switzerland,1948 St. Moritz,0
Switzerland,1952 Oslo,10
Switzerland,1056 Cortina d'Ampezzo,2
Switzerland,1960 Squaw Valley,6
Switzerland,1964 Innsbruck,2
Switzerland,1968 Grenoble,0
Switzerland,1972 Sapporo,6
Switzerland,1976 Innsbruck,10
Switzerland,1980 Lake Placid,5
Switzerland,1984 Sarajevo,5
Switzerland,1988 Calgary,5
Switzerland,1992 Albertville,15
Switzerland,1994 Lillehammer,3
Switzerland,1998 Nagano,9
Switzerland,2002 Salt Lake City,7
Switzerland,2006 Turin,11
Switzerland,2010 Vancouver,14
Switzerland,2014 Sochi,9
Great Britain,1924 Chamonix,0
Great Britain,1928 St. Moritz,4
Great Britain,1932 Lake Placid,1
Great Britain,1935 Garmisch-Partenkirchen,0
Great Britain,1940 Cancelled (Sapporo),3
Great Britain,1944 Cancelled (Cortina d'Ampezzo),0
Great Britain,1948 St. Moritz,0
Great Britain,1952 Oslo,2
Great Britain,1056 Cortina d'Ampezzo,1
Great Britain,1960 Squaw Valley,0
Great Britain,1964 Innsbruck,0
Great Britain,1968 Grenoble,1
Great Britain,1972 Sapporo,0
Great Britain,1976 Innsbruck,0
Great Britain,1980 Lake Placid,1
Great Britain,1984 Sarajevo,1
Great Britain,1988 Calgary,1
Great Britain,1992 Albertville,0
Great Britain,1994 Lillehammer,0
Great Britain,1998 Nagano,2
Great Britain,2002 Salt Lake City,1
Great Britain,2006 Turin,2
Great Britain,2010 Vancouver,1
Great Britain,2014 Sochi,1
France,1924 Chamonix,0
France,1928 St. Moritz,3
France,1932 Lake Placid,1
France,1935 Garmisch-Partenkirchen,1
France,1940 Cancelled (Sapporo),1
France,1944 Cancelled (Cortina d'Ampezzo),0
France,1948 St. Moritz,0
France,1952 Oslo,5
France,1056 Cortina d'Ampezzo,1
France,1960 Squaw Valley,0
France,1964 Innsbruck,3
France,1968 Grenoble,7
France,1972 Sapporo,9
France,1976 Innsbruck,3
France,1980 Lake Placid,1
France,1984 Sarajevo,1
France,1988 Calgary,3
France,1992 Albertville,2
France,1994 Lillehammer,9
France,1998 Nagano,5
France,2002 Salt Lake City,8
France,2006 Turin,11
France,2010 Vancouver,9
France,2014 Sochi,11
Hungary,1924 Chamonix,0
