school,Metric,score
ARIZONA,POLS 2,76.2
BROWN,POLS 2,19.57142857
UC IRVINE,POLS 2,0
NOTRE DAME,POLS 2,36.3125
VIRGINIA,POLS 2,27.7
UC SANTA BARBARA,POLS 2,0.666666667
GEORGETOWN,POLS 2,30.34782609
OREGON,POLS 2,0
JOHNS HOPKINS,POLS 2,1.888888889
SYRACUSE,POLS 2,11.45454545
STANFORD,H-Index POLS2,1.181818182
HARVARD,H-Index POLS2,0.714285714
MICHIAN AA,H-Index POLS2,1.8
COLUMBIA,H-Index POLS2,1.545454545
MIT,H-Index POLS2,0.375
PRINCETON,H-Index POLS2,1.052631579
UC SAN DIEGO,H-Index POLS2,2.166666667
YALE,H-Index POLS2,2.076923077
NYU,H-Index POLS2,3.1875
BERKLEY,H-Index POLS2,2
CHICAGO,H-Index POLS2,0.636363636
WASHINGTON ST L,H-Index POLS2,1.5
DUKE,H-Index POLS2,1.846153846
NORTH CAROLINA CH,H-Index POLS2,1.166666667
UC DAVIS,H-Index POLS2,2.75
ROCHESTER,H-Index POLS2,1.714285714
PENN STATE,H-Index POLS2,2.583333333
RICE,H-Index POLS2,1.714285714
WISCONSIN MAD,H-Index POLS2,1.111111111
TEXAS A&M,H-Index POLS2,1.375
WASHINGTON,H-Index POLS2,0.909090909
UCLA,H-Index POLS2,0.615384615
ILLINOIS,H-Index POLS2,1.375
NORTHWESTERN,H-Index POLS2,1.25
GEORGE WASHINGTON,H-Index POLS2,0.45
EMORY,H-Index POLS2,2.875
OHIO STATE,H-Index POLS2,2.307692308
FLORIDA STATE,H-Index POLS2,0.4
INDIANA,H-Index POLS2,1.6
MINNESOTA,H-Index POLS2,1.2
MARYLAND,H-Index POLS2,1.8125
BINGHAMTON,H-Index POLS2,1.714285714
MICHIGAN STATE,H-Index POLS2,1.25
STONY BROOK,H-Index POLS2,3
CORNELL,H-Index POLS2,0.333333333
PENN,H-Index POLS2,1.7
PITTSBURGH,H-Index POLS2,0.9
VANDERBILT,H-Index POLS2,0.666666667
UC RIVERSIDE,H-Index POLS2,0
TEXAS AUSTIN,H-Index POLS2,1.555555556
COLORADO,H-Index POLS2,2
IOWA,H-Index POLS2,1.4
ARIZONA,H-Index POLS2,1.6
BROWN,H-Index POLS2,0.571428571
UC IRVINE,H-Index POLS2,0
NOTRE DAME,H-Index POLS2,0.5
VIRGINIA,H-Index POLS2,0.5
UC SANTA BARBARA,H-Index POLS2,0.333333333
GEORGETOWN,H-Index POLS2,0.695652174
OREGON,H-Index POLS2,0
JOHNS HOPKINS,H-Index POLS2,0.222222222
SYRACUSE,H-Index POLS2,0.545454546
STANFORD,NON-PEER-PUBS,35.72727273
HARVARD,NON-PEER-PUBS,1.571428571
MICHIAN AA,NON-PEER-PUBS,0
COLUMBIA,NON-PEER-PUBS,25.63636364
MIT,NON-PEER-PUBS,7.9375
PRINCETON,NON-PEER-PUBS,60.78947368
