school,Metric,score
UC IRVINE,TRIP Pubs,5
NOTRE DAME,TRIP Pubs,109.25
VIRGINIA,TRIP Pubs,116.6
UC SANTA BARBARA,TRIP Pubs,19
GEORGETOWN,TRIP Pubs,47.17391304
OREGON,TRIP Pubs,1.4
JOHNS HOPKINS,TRIP Pubs,56.66666667
SYRACUSE,TRIP Pubs,42.63636364
STANFORD,TRIP Cites,901.8181818
HARVARD,TRIP Cites,163.1428571
MICHIAN AA,TRIP Cites,592.7
COLUMBIA,TRIP Cites,377.1818182
MIT,TRIP Cites,70.8125
PRINCETON,TRIP Cites,474.9473684
UC SAN DIEGO,TRIP Cites,459.4444444
YALE,TRIP Cites,325.4285714
NYU,TRIP Cites,551.3125
BERKLEY,TRIP Cites,192.7
CHICAGO,TRIP Cites,214.5
WASHINGTON ST L,TRIP Cites,239.5
DUKE,TRIP Cites,370.6923077
NORTH CAROLINA CH,TRIP Cites,145.5833333
UC DAVIS,TRIP Cites,463
ROCHESTER,TRIP Cites,163.1428571
PENN STATE,TRIP Cites,173.5
RICE,TRIP Cites,148.2857143
WISCONSIN MAD,TRIP Cites,276.6666667
TEXAS A&M,TRIP Cites,187.625
WASHINGTON,TRIP Cites,90.27272727
UCLA,TRIP Cites,138.6923077
ILLINOIS,TRIP Cites,268.375
NORTHWESTERN,TRIP Cites,278.625
GEORGE WASHINGTON,TRIP Cites,281.05
EMORY,TRIP Cites,292.2857143
OHIO STATE,TRIP Cites,443.7692308
FLORIDA STATE,TRIP Cites,62.2
INDIANA,TRIP Cites,187.6
MINNESOTA,TRIP Cites,352.2
MARYLAND,TRIP Cites,329.5625
BINGHAMTON,TRIP Cites,67
MICHIGAN STATE,TRIP Cites,55.75
STONY BROOK,TRIP Cites,781
CORNELL,TRIP Cites,68.44444444
PENN,TRIP Cites,426.9
PITTSBURGH,TRIP Cites,81.1
VANDERBILT,TRIP Cites,137
UC RIVERSIDE,TRIP Cites,0.5
TEXAS AUSTIN,TRIP Cites,87.66666667
COLORADO,TRIP Cites,170.5
IOWA,TRIP Cites,151
ARIZONA,TRIP Cites,89.2
BROWN,TRIP Cites,63.14285714
UC IRVINE,TRIP Cites,17.85714286
NOTRE DAME,TRIP Cites,103.0625
VIRGINIA,TRIP Cites,94.9
UC SANTA BARBARA,TRIP Cites,49.33333333
GEORGETOWN,TRIP Cites,132.7391304
OREGON,TRIP Cites,42
JOHNS HOPKINS,TRIP Cites,55.88888889
SYRACUSE,TRIP Cites,86.09090909
STANFORD,TRIP h-index,6.636363636
HARVARD,TRIP h-index,3
MICHIAN AA,TRIP h-index,6.3
COLUMBIA,TRIP h-index,5.636363636
MIT,TRIP h-index,2.9375
PRINCETON,TRIP h-index,6.157894737
UC SAN DIEGO,TRIP h-index,6.944444444
YALE,TRIP h-index,4.357142857
NYU,TRIP h-index,5.5
BERKLEY,TRIP h-index,4.3
CHICAGO,TRIP h-index,3.416666667
WASHINGTON ST L,TRIP h-index,5
DUKE,TRIP h-index,6.307692308
NORTH CAROLINA CH,TRIP h-index,3.666666667
UC DAVIS,TRIP h-index,6.625
ROCHESTER,TRIP h-index,3.285714286
PENN STATE,TRIP h-index,4.75
RICE,TRIP h-index,3.142857143
WISCONSIN MAD,TRIP h-index,4.222222222
TEXAS A&M,TRIP h-index,4.25
WASHINGTON,TRIP h-index,3.272727273
UCLA,TRIP h-index,3.25
ILLINOIS,TRIP h-index,6.5
NORTHWESTERN,TRIP h-index,3.375
GEORGE WASHINGTON,TRIP h-index,4.25
EMORY,TRIP h-index,5.428571429
OHIO STATE,TRIP h-index,5.384615385
FLORIDA STATE,TRIP h-index,2.2
INDIANA,TRIP h-index,5.3
MINNESOTA,TRIP h-index,4.5
MARYLAND,TRIP h-index,4.75
BINGHAMTON,TRIP h-index,3
MICHIGAN STATE,TRIP h-index,2.875
STONY BROOK,TRIP h-index,3
CORNELL,TRIP h-index,2.111111111
PENN,TRIP h-index,5.4
PITTSBURGH,TRIP h-index,2.3
VANDERBILT,TRIP h-index,3.333333333
UC RIVERSIDE,TRIP h-index,0
TEXAS AUSTIN,TRIP h-index,3.333333333
COLORADO,TRIP h-index,6.5
IOWA,TRIP h-index,4.2
ARIZONA,TRIP h-index,2.5
BROWN,TRIP h-index,3.142857143
UC IRVINE,TRIP h-index,1.571428571
NOTRE DAME,TRIP h-index,3.1875
VIRGINIA,TRIP h-index,4.1
UC SANTA BARBARA,TRIP h-index,4
GEORGETOWN,TRIP h-index,4.260869565
OREGON,TRIP h-index,1.4
JOHNS HOPKINS,TRIP h-index,2.111111111
SYRACUSE,TRIP h-index,2.636363636
STANFORD,TRIP Cite N,0.250545455
HARVARD,TRIP Cite N,10.39285714
MICHIAN AA,TRIP Cite N,19.91558447
COLUMBIA,TRIP Cite N,12.31772727
MIT,TRIP Cite N,4.303629266
PRINCETON,TRIP Cite N,3.577656988
UC SAN DIEGO,TRIP Cite N,21.90371697
YALE,TRIP Cite N,12.84307539
NYU,TRIP Cite N,18.9161875
BERKLEY,TRIP Cite N,7.395137288
CHICAGO,TRIP Cite N,7.8123631
WASHINGTON ST L,TRIP Cite N,17.56593407
DUKE,TRIP Cite N,21.10688354
NORTH CAROLINA CH,TRIP Cite N,5.937384837
UC DAVIS,TRIP Cite N,12.47022024
ROCHESTER,TRIP Cite N,10.80638864
PENN STATE,TRIP Cite N,11.25432407
RICE,TRIP Cite N,6.419382873
WISCONSIN MAD,TRIP Cite N,14.97308716
TEXAS A&M,TRIP Cite N,11.09994086
WASHINGTON,TRIP Cite N,4.575783126
UCLA,TRIP Cite N,5.08800425
ILLINOIS,TRIP Cite N,11.55404127
NORTHWESTERN,TRIP Cite N,8.659022732
GEORGE WASHINGTON,TRIP Cite N,12.10452843
EMORY,TRIP Cite N,11.9311413
OHIO STATE,TRIP Cite N,18.15515286
FLORIDA STATE,TRIP Cite N,4.413333333
INDIANA,TRIP Cite N,4.848545621
MINNESOTA,TRIP Cite N,13.81217007
MARYLAND,TRIP Cite N,13.07155296
BINGHAMTON,TRIP Cite N,0.286242679
MICHIGAN STATE,TRIP Cite N,4.282420643
STONY BROOK,TRIP Cite N,30.03846154
CORNELL,TRIP Cite N,3.032734987
PENN,TRIP Cite N,17.46160714
PITTSBURGH,TRIP Cite N,5.346372843
VANDERBILT,TRIP Cite N,0.294444444
UC RIVERSIDE,TRIP Cite N,0.5
TEXAS AUSTIN,TRIP Cite N,0.298525131
COLORADO,TRIP Cite N,0.375
IOWA,TRIP Cite N,0.291027569
ARIZONA,TRIP Cite N,0.221297447
BROWN,TRIP Cite N,0.409467787
UC IRVINE,TRIP Cite N,0.081585367
NOTRE DAME,TRIP Cite N,4.990290179
VIRGINIA,TRIP Cite N,0.297939339
UC SANTA BARBARA,TRIP Cite N,2.766666667
GEORGETOWN,TRIP Cite N,7.822240608
OREGON,TRIP Cite N,1.842908903
JOHNS HOPKINS,TRIP Cite N,2.184743739
SYRACUSE,TRIP Cite N,3.061098073
STANFORD,Books,9.322818182
HARVARD,Books,7.423
MICHIAN AA,Books,9.6178
COLUMBIA,Books,8.315636364
MIT,Books,11.40525
PRINCETON,Books,10.42831579
UC SAN DIEGO,Books,7.526058824
YALE,Books,13.07428571
NYU,Books,12.2366875
BERKLEY,Books,13.2251
CHICAGO,Books,3.153833333
WASHINGTON ST L,Books,7.059
DUKE,Books,12.17923077
NORTH CAROLINA CH,Books,8.537583333
UC DAVIS,Books,10.318875
ROCHESTER,Books,4.215714286
PENN STATE,Books,3.758083333
RICE,Books,0.630285714
WISCONSIN MAD,Books,8.517555556
TEXAS A&M,Books,1.1275
WASHINGTON,Books,7.798727273
UCLA,Books,8.846538462
ILLINOIS,Books,5.576125
NORTHWESTERN,Books,10.44125
GEORGE WASHINGTON,Books,8.5394
EMORY,Books,3.87275
OHIO STATE,Books,5.641076923
FLORIDA STATE,Books,1.9608
INDIANA,Books,11.7257
MINNESOTA,Books,4.5001
MARYLAND,Books,3.982875
BINGHAMTON,Books,1.106571429
MICHIGAN STATE,Books,3.590625
STONY BROOK,Books,12.647
CORNELL,Books,5.893333333
PENN,Books,6.843
PITTSBURGH,Books,2.6078
VANDERBILT,Books,2.974
UC RIVERSIDE,Books,0
TEXAS AUSTIN,Books,3.965111111
COLORADO,Books,7.32825
IOWA,Books,0.8824
ARIZONA,Books,0.7058
BROWN,Books,7.493142857
UC IRVINE,Books,7.086714286
NOTRE DAME,Books,3.945045918
VIRGINIA,Books,4.9216
UC SANTA BARBARA,Books,15.78433333
GEORGETOWN,Books,9.987304348
OREGON,Books,3.4704
JOHNS HOPKINS,Books,4.553555556
SYRACUSE,Books,4.545454545
STANFORD,Books N,0.296909091
HARVARD,Books N,0.224633426
MICHIAN AA,Books N,0.457117958
COLUMBIA,Books N,0.278
MIT,Books N,0.457204446
PRINCETON,Books N,0.432293074
UC SAN DIEGO,Books N,0.348935287
YALE,Books N,0.566806081
NYU,Books N,0.41175
BERKLEY,Books N,0.535
CHICAGO,Books N,0.143090726
WASHINGTON ST L,Books N,0.517
DUKE,Books N,0.536153846
NORTH CAROLINA CH,Books N,0.27725
UC DAVIS,Books N,0.2865
ROCHESTER,Books N,0.205142857
PENN STATE,Books N,0.278
RICE,Books N,0.020331797
WISCONSIN MAD,Books N,0.634606532
TEXAS A&M,Books N,0.133958333
WASHINGTON,Books N,0.208392899
UCLA,Books N,0.22068873
ILLINOIS,Books N,0.199882193
NORTHWESTERN,Books N,0.409907258
GEORGE WASHINGTON,Books N,0.38885
EMORY,Books N,0.17
OHIO STATE,Books N,0.277153846
FLORIDA STATE,Books N,0.1406
INDIANA,Books N,0.3591
MINNESOTA,Books N,0.200494326
MARYLAND,Books N,0.253763908
BINGHAMTON,Books N,0.03672199
MICHIGAN STATE,Books N,0.12575
STONY BROOK,Books N,0.486
CORNELL,Books N,0.309222222
PENN,Books N,0.404255
PITTSBURGH,Books N,0.1762
VANDERBILT,Books N,0.275611111
UC RIVERSIDE,Books N,0
TEXAS AUSTIN,Books N,0.350816224
COLORADO,Books N,0.303704167
IOWA,Books N,0.042019048
ARIZONA,Books N,0.031508835
BROWN,Books N,0.575167955
UC IRVINE,Books N,0.499993487
NOTRE DAME,Books N,0.209027837
VIRGINIA,Books N,0.291760989
UC SANTA BARBARA,Books N,0.689825472
GEORGETOWN,Books N,0.490342741
OREGON,Books N,0.185877122
JOHNS HOPKINS,Books N,0.188298568
SYRACUSE,Books N,0.271621583
STANFORD,Cong Test,4.727272727
HARVARD,Cong Test,0.142857143
MICHIAN AA,Cong Test,1.1
COLUMBIA,Cong Test,0.545454546
MIT,Cong Test,0.3125
PRINCETON,Cong Test,1.736842105
UC SAN DIEGO,Cong Test,0.166666667
YALE,Cong Test,0.153846154
NYU,Cong Test,0.125
BERKLEY,Cong Test,0.7
CHICAGO,Cong Test,0.416666667
WASHINGTON ST L,Cong Test,0.5
DUKE,Cong Test,0
NORTH CAROLINA CH,Cong Test,0.166666667
UC DAVIS,Cong Test,0
ROCHESTER,Cong Test,0
PENN STATE,Cong Test,0
RICE,Cong Test,0
WISCONSIN MAD,Cong Test,0
TEXAS A&M,Cong Test,0
WASHINGTON,Cong Test,0.181818182
UCLA,Cong Test,0.769230769
ILLINOIS,Cong Test,0
NORTHWESTERN,Cong Test,0.125
GEORGE WASHINGTON,Cong Test,1.35
EMORY,Cong Test,0
OHIO STATE,Cong Test,0.076923077
FLORIDA STATE,Cong Test,0
INDIANA,Cong Test,0.3
MINNESOTA,Cong Test,0
MARYLAND,Cong Test,0.625
BINGHAMTON,Cong Test,0.714285714
MICHIGAN STATE,Cong Test,1.25
STONY BROOK,Cong Test,0
CORNELL,Cong Test,0.333333333
PENN,Cong Test,0.4
PITTSBURGH,Cong Test,0
VANDERBILT,Cong Test,0
UC RIVERSIDE,Cong Test,0
TEXAS AUSTIN,Cong Test,0
COLORADO,Cong Test,0
IOWA,Cong Test,0
ARIZONA,Cong Test,0
BROWN,Cong Test,0.428571429
UC IRVINE,Cong Test,0.857142857
NOTRE DAME,Cong Test,0.125
VIRGINIA,Cong Test,0.2
UC SANTA BARBARA,Cong Test,1.666666667
GEORGETOWN,Cong Test,1.652173913
OREGON,Cong Test,0
JOHNS HOPKINS,Cong Test,0.111111111
SYRACUSE,Cong Test,0.181818182
STANFORD,ProQ,143.2727273
HARVARD,ProQ,13
MICHIAN AA,ProQ,15.3
COLUMBIA,ProQ,32.54545455
MIT,ProQ,8.6875
PRINCETON,ProQ,109.7368421
UC SAN DIEGO,ProQ,6
YALE,ProQ,7.571428571
NYU,ProQ,6.4375
BERKLEY,ProQ,52.3
CHICAGO,ProQ,90.58333333
WASHINGTON ST L,ProQ,4.5
DUKE,ProQ,20.46153846
NORTH CAROLINA CH,ProQ,3.833333333
UC DAVIS,ProQ,3.25
ROCHESTER,ProQ,1.428571429
PENN STATE,ProQ,1.166666667
RICE,ProQ,25.28571429
WISCONSIN MAD,ProQ,6.777777778
TEXAS A&M,ProQ,0
WASHINGTON,ProQ,2.636363636
UCLA,ProQ,6.076923077
ILLINOIS,ProQ,0.875
NORTHWESTERN,ProQ,16.375
GEORGE WASHINGTON,ProQ,67.9
EMORY,ProQ,2.25
OHIO STATE,ProQ,7.461538462
FLORIDA STATE,ProQ,0.2
INDIANA,ProQ,6.2
MINNESOTA,ProQ,3.9
MARYLAND,ProQ,37.0625
BINGHAMTON,ProQ,1.571428571
MICHIGAN STATE,ProQ,5.875
STONY BROOK,ProQ,10
CORNELL,ProQ,0
PENN,ProQ,6
PITTSBURGH,ProQ,0.9
VANDERBILT,ProQ,2.333333333
UC RIVERSIDE,ProQ,0
TEXAS AUSTIN,ProQ,0.333333333
COLORADO,ProQ,2
IOWA,ProQ,0.6
ARIZONA,ProQ,2.4
BROWN,ProQ,8.428571429
UC IRVINE,ProQ,1.714285714
NOTRE DAME,ProQ,5.875
VIRGINIA,ProQ,6.3
UC SANTA BARBARA,ProQ,1.666666667
GEORGETOWN,ProQ,35
OREGON,ProQ,0.2
JOHNS HOPKINS,ProQ,1.777777778
SYRACUSE,ProQ,2.181818182
STANFORD,ProQN,4.576671181
HARVARD,ProQN,0.478433402
MICHIAN AA,ProQN,0.49036241
COLUMBIA,ProQN,0.807185971
MIT,ProQN,0.064022957
PRINCETON,ProQN,4.43850439
UC SAN DIEGO,ProQN,0.177202152
YALE,ProQN,0.152463513
NYU,ProQN,0.173929275
BERKLEY,ProQN,1.441939293
CHICAGO,ProQN,0.04741364
WASHINGTON ST L,ProQN,0.002232143
DUKE,ProQN,0.797774014
NORTH CAROLINA CH,ProQN,0.188119249
UC DAVIS,ProQN,0.001612103
ROCHESTER,ProQN,0.1545105
PENN STATE,ProQN,0.073975045
RICE,ProQN,0.665735768
WISCONSIN MAD,ProQN,0.597808782
TEXAS A&M,ProQN,0
WASHINGTON,ProQN,0.060678875
UCLA,ProQN,0.175086673
ILLINOIS,ProQN,0.025703463
NORTHWESTERN,ProQN,0.523837722
GEORGE WASHINGTON,ProQN,2.732354528
EMORY,ProQN,0.102355073
OHIO STATE,ProQN,0.321212382
FLORIDA STATE,ProQN,0.013333333
INDIANA,ProQN,0.233663906
MINNESOTA,ProQN,0.218835646
MARYLAND,ProQN,1.224570621
BINGHAMTON,ProQN,0.030706582
MICHIGAN STATE,ProQN,0.178087293
STONY BROOK,ProQN,0.384615385
CORNELL,ProQN,0
PENN,ProQN,0.264852034
PITTSBURGH,ProQN,0.035724534
VANDERBILT,ProQN,0.233333333
UC RIVERSIDE,ProQN,0
TEXAS AUSTIN,ProQN,0.022446689
COLORADO,ProQN,0.13125
IOWA,ProQN,0.032380952
ARIZONA,ProQN,0.211398424
BROWN,ProQN,0.591876751
UC IRVINE,ProQN,0.082370981
NOTRE DAME,ProQN,0.286669147
VIRGINIA,ProQN,0.393306392
UC SANTA BARBARA,ProQN,0.031446541
GEORGETOWN,ProQN,1.624900377
OREGON,ProQN,0.008333333
JOHNS HOPKINS,ProQN,0.091279977
SYRACUSE,ProQN,0.069934343
STANFORD,CFRIAF,3
HARVARD,CFRIAF,0
MICHIAN AA,CFRIAF,1
COLUMBIA,CFRIAF,1
MIT,CFRIAF,1
PRINCETON,CFRIAF,2
UC SAN DIEGO,CFRIAF,2
YALE,CFRIAF,0
NYU,CFRIAF,0
BERKLEY,CFRIAF,2
CHICAGO,CFRIAF,0
WASHINGTON ST L,CFRIAF,0
DUKE,CFRIAF,4
NORTH CAROLINA CH,CFRIAF,1
UC DAVIS,CFRIAF,0
ROCHESTER,CFRIAF,0
PENN STATE,CFRIAF,0
RICE,CFRIAF,0
WISCONSIN MAD,CFRIAF,0
TEXAS A&M,CFRIAF,0
WASHINGTON,CFRIAF,1
UCLA,CFRIAF,1
ILLINOIS,CFRIAF,1
NORTHWESTERN,CFRIAF,0
GEORGE WASHINGTON,CFRIAF,4
EMORY,CFRIAF,0
OHIO STATE,CFRIAF,1
FLORIDA STATE,CFRIAF,0
INDIANA,CFRIAF,0
MINNESOTA,CFRIAF,1
MARYLAND,CFRIAF,2
BINGHAMTON,CFRIAF,0
MICHIGAN STATE,CFRIAF,0
STONY BROOK,CFRIAF,0
CORNELL,CFRIAF,1
PENN,CFRIAF,2
PITTSBURGH,CFRIAF,0
VANDERBILT,CFRIAF,0
UC RIVERSIDE,CFRIAF,0
TEXAS AUSTIN,CFRIAF,0
COLORADO,CFRIAF,0
IOWA,CFRIAF,0
ARIZONA,CFRIAF,0
BROWN,CFRIAF,0
UC IRVINE,CFRIAF,1
NOTRE DAME,CFRIAF,1
VIRGINIA,CFRIAF,1
UC SANTA BARBARA,CFRIAF,3
GEORGETOWN,CFRIAF,5
OREGON,CFRIAF,0
JOHNS HOPKINS,CFRIAF,0
SYRACUSE,CFRIAF,0
STANFORD,APSACF,0
HARVARD,APSACF,0
MICHIAN AA,APSACF,0
COLUMBIA,APSACF,0
MIT,APSACF,0
PRINCETON,APSACF,2
UC SAN DIEGO,APSACF,0
YALE,APSACF,1
NYU,APSACF,0
BERKLEY,APSACF,0
CHICAGO,APSACF,0
WASHINGTON ST L,APSACF,0
DUKE,APSACF,0
NORTH CAROLINA CH,APSACF,0
UC DAVIS,APSACF,0
ROCHESTER,APSACF,0
PENN STATE,APSACF,0
RICE,APSACF,0
WISCONSIN MAD,APSACF,0
TEXAS A&M,APSACF,0
WASHINGTON,APSACF,0
UCLA,APSACF,0
ILLINOIS,APSACF,0
NORTHWESTERN,APSACF,0
GEORGE WASHINGTON,APSACF,0
EMORY,APSACF,0
OHIO STATE,APSACF,0
FLORIDA STATE,APSACF,0
INDIANA,APSACF,0
MINNESOTA,APSACF,0
MARYLAND,APSACF,0
BINGHAMTON,APSACF,0
MICHIGAN STATE,APSACF,0
STONY BROOK,APSACF,0
CORNELL,APSACF,0
PENN,APSACF,0
PITTSBURGH,APSACF,0
VANDERBILT,APSACF,0
UC RIVERSIDE,APSACF,0
TEXAS AUSTIN,APSACF,0
COLORADO,APSACF,0
IOWA,APSACF,0
ARIZONA,APSACF,0
BROWN,APSACF,0
UC IRVINE,APSACF,0
NOTRE DAME,APSACF,0
VIRGINIA,APSACF,0
UC SANTA BARBARA,APSACF,0
GEORGETOWN,APSACF,0
OREGON,APSACF,0
JOHNS HOPKINS,APSACF,0
SYRACUSE,APSACF,0
