Year,Category,Value
2011,Actual,12
2011,Expected,14
2012,Actual,44
2012,Expected,54
2013,Actual,54
2013,Expected,52
2014,Actual,66
2014,Expected,61
2015,Actual,81
2015,Expected,66
2016,Actual,67
2016,Expected,70
