Category,Planets (z)
LSPM J2116+0234 b,42.27114174
GJ 876 b,7.232497004
GJ 625 b,8.962753362
HD 102365 b,50.85250134
GJ 1148 b,0.966992096
TRAPPIST-1 c,4.157191985
HD 136352 d,28.03244137
HD 190360 c,60.60664676
GJ 3222 b,36.36532293
GJ 876 c,2.269928529
HD 219134 b,15.06505352
GJ 3512 b,1.462009414
GJ 1148 c,0.680597165
TRAPPIST-1 d,1.233173158
GJ 163 b,33.68978214
GJ 143 b,72.14698628
GJ 3998 b,7.850354895
GJ 876 d,21.70766151
HD 219134 c,13.85730662
GJ 3512 c,0.635656267
GJ 740 b,9.407712749
TRAPPIST-1 e,2.199370683
GJ 163 c,21.61231307
HD 113538 b,1.14418128
GJ 3998 c,19.89604115
