Epoch: 001, Train Acc: 0.0559, Test Acc: 0.0552, Train Acc Top5: 0.1964, Test Acc Top5: 0.2044
Epoch: 002, Train Acc: 0.0739, Test Acc: 0.0829, Train Acc Top5: 0.2847, Test Acc Top5: 0.2790
Epoch: 003, Train Acc: 0.1063, Test Acc: 0.0967, Train Acc Top5: 0.3550, Test Acc Top5: 0.3066
Epoch: 004, Train Acc: 0.1333, Test Acc: 0.1022, Train Acc Top5: 0.4306, Test Acc Top5: 0.3619
Epoch: 005, Train Acc: 0.1532, Test Acc: 0.1077, Train Acc Top5: 0.4847, Test Acc Top5: 0.4309
Epoch: 006, Train Acc: 0.1874, Test Acc: 0.0939, Train Acc Top5: 0.5171, Test Acc Top5: 0.4420
Epoch: 007, Train Acc: 0.1856, Test Acc: 0.1022, Train Acc Top5: 0.5207, Test Acc Top5: 0.4337
Epoch: 008, Train Acc: 0.1982, Test Acc: 0.1381, Train Acc Top5: 0.5568, Test Acc Top5: 0.4724
Epoch: 009, Train Acc: 0.2144, Test Acc: 0.1409, Train Acc Top5: 0.6072, Test Acc Top5: 0.4834
Epoch: 010, Train Acc: 0.2360, Test Acc: 0.1381, Train Acc Top5: 0.5928, Test Acc Top5: 0.4751
Epoch: 011, Train Acc: 0.2649, Test Acc: 0.1547, Train Acc Top5: 0.6162, Test Acc Top5: 0.4613
Epoch: 012, Train Acc: 0.2577, Test Acc: 0.1685, Train Acc Top5: 0.6324, Test Acc Top5: 0.4779
Epoch: 013, Train Acc: 0.2703, Test Acc: 0.1436, Train Acc Top5: 0.6360, Test Acc Top5: 0.4945
Epoch: 014, Train Acc: 0.2937, Test Acc: 0.1575, Train Acc Top5: 0.6613, Test Acc Top5: 0.5138
Epoch: 015, Train Acc: 0.2991, Test Acc: 0.1547, Train Acc Top5: 0.6937, Test Acc Top5: 0.4917
Epoch: 016, Train Acc: 0.3261, Test Acc: 0.1740, Train Acc Top5: 0.7387, Test Acc Top5: 0.5193
