Epoch: 001, Train Acc: 0.1081, Test Acc: 0.0967, Train Acc Top5: 0.4577, Test Acc Top5: 0.4530
Epoch: 002, Train Acc: 0.1856, Test Acc: 0.1823, Train Acc Top5: 0.6162, Test Acc Top5: 0.6105
Epoch: 003, Train Acc: 0.2829, Test Acc: 0.2928, Train Acc Top5: 0.6703, Test Acc Top5: 0.6878
Epoch: 004, Train Acc: 0.3243, Test Acc: 0.3122, Train Acc Top5: 0.7261, Test Acc Top5: 0.7210
Epoch: 005, Train Acc: 0.3532, Test Acc: 0.3343, Train Acc Top5: 0.7495, Test Acc Top5: 0.7265
Epoch: 006, Train Acc: 0.3712, Test Acc: 0.3425, Train Acc Top5: 0.7820, Test Acc Top5: 0.7624
Epoch: 007, Train Acc: 0.3820, Test Acc: 0.3591, Train Acc Top5: 0.8450, Test Acc Top5: 0.7983
Epoch: 008, Train Acc: 0.4072, Test Acc: 0.3619, Train Acc Top5: 0.8595, Test Acc Top5: 0.8232
Epoch: 009, Train Acc: 0.4234, Test Acc: 0.3564, Train Acc Top5: 0.8685, Test Acc Top5: 0.8122
Epoch: 010, Train Acc: 0.4072, Test Acc: 0.3564, Train Acc Top5: 0.8486, Test Acc Top5: 0.7873
Epoch: 011, Train Acc: 0.4685, Test Acc: 0.3646, Train Acc Top5: 0.8865, Test Acc Top5: 0.8287
Epoch: 012, Train Acc: 0.4523, Test Acc: 0.3646, Train Acc Top5: 0.8973, Test Acc Top5: 0.8536
Epoch: 013, Train Acc: 0.4883, Test Acc: 0.3674, Train Acc Top5: 0.9171, Test Acc Top5: 0.8398
Epoch: 014, Train Acc: 0.4847, Test Acc: 0.3508, Train Acc Top5: 0.8955, Test Acc Top5: 0.8425
Epoch: 015, Train Acc: 0.4847, Test Acc: 0.3757, Train Acc Top5: 0.8991, Test Acc Top5: 0.8425
Epoch: 016, Train Acc: 0.4541, Test Acc: 0.3260, Train Acc Top5: 0.9243, Test Acc Top5: 0.8232
Epoch: 017, Train Acc: 0.5009, Test Acc: 0.3729, Train Acc Top5: 0.9171, Test Acc Top5: 0.8425
Epoch: 018, Train Acc: 0.5135, Test Acc: 0.3840, Train Acc Top5: 0.9225, Test Acc Top5: 0.8425
Epoch: 019, Train Acc: 0.4523, Test Acc: 0.3481, Train Acc Top5: 0.9189, Test Acc Top5: 0.8398
Epoch: 020, Train Acc: 0.5351, Test Acc: 0.4033, Train Acc Top5: 0.9297, Test Acc Top5: 0.8508
Epoch: 021, Train Acc: 0.5495, Test Acc: 0.3923, Train Acc Top5: 0.9423, Test Acc Top5: 0.8315
Epoch: 022, Train Acc: 0.5550, Test Acc: 0.4254, Train Acc Top5: 0.9423, Test Acc Top5: 0.8370
Epoch: 023, Train Acc: 0.5550, Test Acc: 0.4116, Train Acc Top5: 0.9459, Test Acc Top5: 0.8508
Epoch: 024, Train Acc: 0.5730, Test Acc: 0.4144, Train Acc Top5: 0.9441, Test Acc Top5: 0.8453
Epoch: 025, Train Acc: 0.5676, Test Acc: 0.4365, Train Acc Top5: 0.9495, Test Acc Top5: 0.8481
Epoch: 026, Train Acc: 0.5568, Test Acc: 0.4199, Train Acc Top5: 0.9405, Test Acc Top5: 0.8260
Epoch: 027, Train Acc: 0.5946, Test Acc: 0.4309, Train Acc Top5: 0.9532, Test Acc Top5: 0.8398
Epoch: 028, Train Acc: 0.5820, Test Acc: 0.3978, Train Acc Top5: 0.9640, Test Acc Top5: 0.8619
Epoch: 029, Train Acc: 0.5946, Test Acc: 0.4282, Train Acc Top5: 0.9550, Test Acc Top5: 0.8260
Epoch: 030, Train Acc: 0.6018, Test Acc: 0.4530, Train Acc Top5: 0.9586, Test Acc Top5: 0.8564
Epoch: 031, Train Acc: 0.6108, Test Acc: 0.4282, Train Acc Top5: 0.9604, Test Acc Top5: 0.8536
Epoch: 032, Train Acc: 0.6360, Test Acc: 0.4365, Train Acc Top5: 0.9640, Test Acc Top5: 0.8425
Epoch: 033, Train Acc: 0.6180, Test Acc: 0.4365, Train Acc Top5: 0.9586, Test Acc Top5: 0.8591
Epoch: 034, Train Acc: 0.5856, Test Acc: 0.4033, Train Acc Top5: 0.9586, Test Acc Top5: 0.8425
Epoch: 035, Train Acc: 0.6360, Test Acc: 0.4530, Train Acc Top5: 0.9676, Test Acc Top5: 0.8343
Epoch: 036, Train Acc: 0.6252, Test Acc: 0.4392, Train Acc Top5: 0.9694, Test Acc Top5: 0.8536
Epoch: 037, Train Acc: 0.6541, Test Acc: 0.4503, Train Acc Top5: 0.9694, Test Acc Top5: 0.8398
Epoch: 038, Train Acc: 0.6559, Test Acc: 0.4669, Train Acc Top5: 0.9640, Test Acc Top5: 0.8398
Epoch: 039, Train Acc: 0.6432, Test Acc: 0.4309, Train Acc Top5: 0.9604, Test Acc Top5: 0.8370
Epoch: 040, Train Acc: 0.6541, Test Acc: 0.4613, Train Acc Top5: 0.9694, Test Acc Top5: 0.8425
Epoch: 041, Train Acc: 0.6180, Test Acc: 0.4420, Train Acc Top5: 0.9640, Test Acc Top5: 0.8398
Epoch: 042, Train Acc: 0.6649, Test Acc: 0.4309, Train Acc Top5: 0.9748, Test Acc Top5: 0.8536
Epoch: 043, Train Acc: 0.6631, Test Acc: 0.4558, Train Acc Top5: 0.9712, Test Acc Top5: 0.8508
Epoch: 044, Train Acc: 0.6631, Test Acc: 0.4448, Train Acc Top5: 0.9730, Test Acc Top5: 0.8425
Epoch: 045, Train Acc: 0.6901, Test Acc: 0.4696, Train Acc Top5: 0.9766, Test Acc Top5: 0.8702
Epoch: 046, Train Acc: 0.6901, Test Acc: 0.4751, Train Acc Top5: 0.9712, Test Acc Top5: 0.8370
Epoch: 047, Train Acc: 0.6937, Test Acc: 0.4669, Train Acc Top5: 0.9784, Test Acc Top5: 0.8343
Epoch: 048, Train Acc: 0.7063, Test Acc: 0.4558, Train Acc Top5: 0.9766, Test Acc Top5: 0.8619
Epoch: 049, Train Acc: 0.7027, Test Acc: 0.4558, Train Acc Top5: 0.9766, Test Acc Top5: 0.8398
Epoch: 050, Train Acc: 0.7045, Test Acc: 0.4613, Train Acc Top5: 0.9766, Test Acc Top5: 0.8591
Epoch: 051, Train Acc: 0.6991, Test Acc: 0.4890, Train Acc Top5: 0.9766, Test Acc Top5: 0.8564
Epoch: 052, Train Acc: 0.7045, Test Acc: 0.4586, Train Acc Top5: 0.9784, Test Acc Top5: 0.8591
Epoch: 053, Train Acc: 0.7099, Test Acc: 0.4669, Train Acc Top5: 0.9856, Test Acc Top5: 0.8508
Epoch: 054, Train Acc: 0.6703, Test Acc: 0.4586, Train Acc Top5: 0.9802, Test Acc Top5: 0.8646
Epoch: 055, Train Acc: 0.7117, Test Acc: 0.4807, Train Acc Top5: 0.9892, Test Acc Top5: 0.8536
Epoch: 056, Train Acc: 0.7207, Test Acc: 0.4696, Train Acc Top5: 0.9802, Test Acc Top5: 0.8453
Epoch: 057, Train Acc: 0.7315, Test Acc: 0.4807, Train Acc Top5: 0.9838, Test Acc Top5: 0.8398
Epoch: 058, Train Acc: 0.7081, Test Acc: 0.4530, Train Acc Top5: 0.9874, Test Acc Top5: 0.8370
Epoch: 059, Train Acc: 0.7063, Test Acc: 0.5028, Train Acc Top5: 0.9676, Test Acc Top5: 0.8646
Epoch: 060, Train Acc: 0.7369, Test Acc: 0.4503, Train Acc Top5: 0.9874, Test Acc Top5: 0.8453
Epoch: 061, Train Acc: 0.7405, Test Acc: 0.4751, Train Acc Top5: 0.9820, Test Acc Top5: 0.8812
Epoch: 062, Train Acc: 0.6973, Test Acc: 0.4420, Train Acc Top5: 0.9802, Test Acc Top5: 0.8453
Epoch: 063, Train Acc: 0.7333, Test Acc: 0.4558, Train Acc Top5: 0.9784, Test Acc Top5: 0.8508
Epoch: 064, Train Acc: 0.7351, Test Acc: 0.4834, Train Acc Top5: 0.9802, Test Acc Top5: 0.8591
Epoch: 065, Train Acc: 0.7189, Test Acc: 0.4503, Train Acc Top5: 0.9874, Test Acc Top5: 0.8453
Epoch: 066, Train Acc: 0.7441, Test Acc: 0.4945, Train Acc Top5: 0.9838, Test Acc Top5: 0.8453
Epoch: 067, Train Acc: 0.7694, Test Acc: 0.4834, Train Acc Top5: 0.9910, Test Acc Top5: 0.8508
Epoch: 068, Train Acc: 0.7694, Test Acc: 0.4530, Train Acc Top5: 0.9946, Test Acc Top5: 0.8619
Epoch: 069, Train Acc: 0.7387, Test Acc: 0.4724, Train Acc Top5: 0.9928, Test Acc Top5: 0.8564
Epoch: 070, Train Acc: 0.7423, Test Acc: 0.4724, Train Acc Top5: 0.9856, Test Acc Top5: 0.8232
Epoch: 071, Train Acc: 0.7568, Test Acc: 0.4779, Train Acc Top5: 0.9910, Test Acc Top5: 0.8315
Epoch: 072, Train Acc: 0.7658, Test Acc: 0.4503, Train Acc Top5: 0.9892, Test Acc Top5: 0.8481
Epoch: 073, Train Acc: 0.7586, Test Acc: 0.4834, Train Acc Top5: 0.9946, Test Acc Top5: 0.8591
Epoch: 074, Train Acc: 0.7604, Test Acc: 0.4669, Train Acc Top5: 0.9892, Test Acc Top5: 0.8591
Epoch: 075, Train Acc: 0.7568, Test Acc: 0.4917, Train Acc Top5: 0.9820, Test Acc Top5: 0.8729
Epoch: 076, Train Acc: 0.7459, Test Acc: 0.4669, Train Acc Top5: 0.9910, Test Acc Top5: 0.8343
Epoch: 077, Train Acc: 0.7982, Test Acc: 0.4834, Train Acc Top5: 0.9964, Test Acc Top5: 0.8536
Epoch: 078, Train Acc: 0.8090, Test Acc: 0.4862, Train Acc Top5: 0.9946, Test Acc Top5: 0.8508
Epoch: 079, Train Acc: 0.7946, Test Acc: 0.4779, Train Acc Top5: 0.9946, Test Acc Top5: 0.8564
Epoch: 080, Train Acc: 0.7730, Test Acc: 0.4834, Train Acc Top5: 0.9874, Test Acc Top5: 0.8564
Epoch: 081, Train Acc: 0.8036, Test Acc: 0.4945, Train Acc Top5: 0.9964, Test Acc Top5: 0.8536
Epoch: 082, Train Acc: 0.8036, Test Acc: 0.5110, Train Acc Top5: 0.9964, Test Acc Top5: 0.8591
Epoch: 083, Train Acc: 0.8018, Test Acc: 0.5028, Train Acc Top5: 0.9946, Test Acc Top5: 0.8536
Epoch: 084, Train Acc: 0.8000, Test Acc: 0.4862, Train Acc Top5: 0.9946, Test Acc Top5: 0.8481
Epoch: 085, Train Acc: 0.7946, Test Acc: 0.5028, Train Acc Top5: 0.9910, Test Acc Top5: 0.8591
Epoch: 086, Train Acc: 0.7820, Test Acc: 0.4779, Train Acc Top5: 0.9928, Test Acc Top5: 0.8481
Epoch: 087, Train Acc: 0.8018, Test Acc: 0.5055, Train Acc Top5: 0.9874, Test Acc Top5: 0.8619
Epoch: 088, Train Acc: 0.7874, Test Acc: 0.4972, Train Acc Top5: 0.9964, Test Acc Top5: 0.8425
Epoch: 089, Train Acc: 0.8090, Test Acc: 0.5000, Train Acc Top5: 0.9928, Test Acc Top5: 0.8702
Epoch: 090, Train Acc: 0.7910, Test Acc: 0.4724, Train Acc Top5: 0.9946, Test Acc Top5: 0.8315
Epoch: 091, Train Acc: 0.8162, Test Acc: 0.4945, Train Acc Top5: 0.9928, Test Acc Top5: 0.8619
Epoch: 092, Train Acc: 0.8234, Test Acc: 0.5000, Train Acc Top5: 0.9982, Test Acc Top5: 0.8591
Epoch: 093, Train Acc: 0.8234, Test Acc: 0.5110, Train Acc Top5: 0.9964, Test Acc Top5: 0.8619
Epoch: 094, Train Acc: 0.7856, Test Acc: 0.4779, Train Acc Top5: 0.9874, Test Acc Top5: 0.8536
Epoch: 095, Train Acc: 0.8036, Test Acc: 0.4696, Train Acc Top5: 0.9982, Test Acc Top5: 0.8536
