Epoch: 052, Train Acc: 0.7207, Test Acc: 0.4337, Train Acc Top5: 0.9838, Test Acc Top5: 0.8343
Epoch: 053, Train Acc: 0.7423, Test Acc: 0.4530, Train Acc Top5: 0.9838, Test Acc Top5: 0.8425
Epoch: 054, Train Acc: 0.7423, Test Acc: 0.4503, Train Acc Top5: 0.9856, Test Acc Top5: 0.8536
Epoch: 055, Train Acc: 0.7315, Test Acc: 0.4475, Train Acc Top5: 0.9892, Test Acc Top5: 0.8453
Epoch: 056, Train Acc: 0.7297, Test Acc: 0.4503, Train Acc Top5: 0.9892, Test Acc Top5: 0.8370
Epoch: 057, Train Acc: 0.7135, Test Acc: 0.4365, Train Acc Top5: 0.9820, Test Acc Top5: 0.8536
Epoch: 058, Train Acc: 0.7369, Test Acc: 0.4199, Train Acc Top5: 0.9874, Test Acc Top5: 0.8481
Epoch: 059, Train Acc: 0.7369, Test Acc: 0.4337, Train Acc Top5: 0.9892, Test Acc Top5: 0.8453
Epoch: 060, Train Acc: 0.7477, Test Acc: 0.4558, Train Acc Top5: 0.9910, Test Acc Top5: 0.8536
Epoch: 061, Train Acc: 0.7459, Test Acc: 0.4392, Train Acc Top5: 0.9910, Test Acc Top5: 0.8508
Epoch: 062, Train Acc: 0.7658, Test Acc: 0.4365, Train Acc Top5: 0.9892, Test Acc Top5: 0.8260
Epoch: 063, Train Acc: 0.7676, Test Acc: 0.4420, Train Acc Top5: 0.9910, Test Acc Top5: 0.8177
Epoch: 064, Train Acc: 0.7459, Test Acc: 0.4365, Train Acc Top5: 0.9892, Test Acc Top5: 0.8564
Epoch: 065, Train Acc: 0.7550, Test Acc: 0.4503, Train Acc Top5: 0.9892, Test Acc Top5: 0.8398
Epoch: 066, Train Acc: 0.7658, Test Acc: 0.4475, Train Acc Top5: 0.9874, Test Acc Top5: 0.8260
Epoch: 067, Train Acc: 0.7676, Test Acc: 0.4337, Train Acc Top5: 0.9892, Test Acc Top5: 0.8508
Epoch: 068, Train Acc: 0.7928, Test Acc: 0.4475, Train Acc Top5: 0.9892, Test Acc Top5: 0.8370
Epoch: 069, Train Acc: 0.7586, Test Acc: 0.4365, Train Acc Top5: 0.9874, Test Acc Top5: 0.8481
Epoch: 070, Train Acc: 0.7838, Test Acc: 0.4448, Train Acc Top5: 0.9928, Test Acc Top5: 0.8481
Epoch: 071, Train Acc: 0.7982, Test Acc: 0.4558, Train Acc Top5: 0.9910, Test Acc Top5: 0.8343
Epoch: 072, Train Acc: 0.7550, Test Acc: 0.4365, Train Acc Top5: 0.9856, Test Acc Top5: 0.8204
Epoch: 073, Train Acc: 0.7748, Test Acc: 0.4558, Train Acc Top5: 0.9910, Test Acc Top5: 0.8370
Epoch: 074, Train Acc: 0.7874, Test Acc: 0.4613, Train Acc Top5: 0.9946, Test Acc Top5: 0.8398
Epoch: 075, Train Acc: 0.7784, Test Acc: 0.4530, Train Acc Top5: 0.9946, Test Acc Top5: 0.8536
Epoch: 076, Train Acc: 0.7820, Test Acc: 0.4475, Train Acc Top5: 0.9928, Test Acc Top5: 0.8287
Epoch: 077, Train Acc: 0.7730, Test Acc: 0.4475, Train Acc Top5: 0.9910, Test Acc Top5: 0.8343
Epoch: 078, Train Acc: 0.7910, Test Acc: 0.4613, Train Acc Top5: 0.9928, Test Acc Top5: 0.8260
Epoch: 079, Train Acc: 0.8000, Test Acc: 0.4641, Train Acc Top5: 0.9856, Test Acc Top5: 0.8370
Epoch: 080, Train Acc: 0.7802, Test Acc: 0.4669, Train Acc Top5: 0.9892, Test Acc Top5: 0.8425
Epoch: 081, Train Acc: 0.8108, Test Acc: 0.4669, Train Acc Top5: 0.9910, Test Acc Top5: 0.8425
Epoch: 082, Train Acc: 0.8000, Test Acc: 0.4724, Train Acc Top5: 0.9928, Test Acc Top5: 0.8508
Epoch: 083, Train Acc: 0.8162, Test Acc: 0.4779, Train Acc Top5: 0.9928, Test Acc Top5: 0.8398
Epoch: 084, Train Acc: 0.8126, Test Acc: 0.4779, Train Acc Top5: 0.9946, Test Acc Top5: 0.8398
Epoch: 085, Train Acc: 0.8270, Test Acc: 0.4613, Train Acc Top5: 0.9928, Test Acc Top5: 0.8232
Epoch: 086, Train Acc: 0.7892, Test Acc: 0.4641, Train Acc Top5: 0.9892, Test Acc Top5: 0.8260
Epoch: 087, Train Acc: 0.8198, Test Acc: 0.4696, Train Acc Top5: 0.9946, Test Acc Top5: 0.8508
Epoch: 088, Train Acc: 0.8126, Test Acc: 0.4751, Train Acc Top5: 0.9928, Test Acc Top5: 0.8287
Epoch: 089, Train Acc: 0.8216, Test Acc: 0.4751, Train Acc Top5: 0.9946, Test Acc Top5: 0.8453
Epoch: 090, Train Acc: 0.8144, Test Acc: 0.4420, Train Acc Top5: 0.9964, Test Acc Top5: 0.8315
Epoch: 091, Train Acc: 0.8018, Test Acc: 0.4724, Train Acc Top5: 0.9910, Test Acc Top5: 0.8343
Epoch: 092, Train Acc: 0.8252, Test Acc: 0.5000, Train Acc Top5: 0.9964, Test Acc Top5: 0.8481
Epoch: 093, Train Acc: 0.8270, Test Acc: 0.4724, Train Acc Top5: 0.9964, Test Acc Top5: 0.8425
Epoch: 094, Train Acc: 0.8180, Test Acc: 0.4751, Train Acc Top5: 0.9964, Test Acc Top5: 0.8481
Epoch: 095, Train Acc: 0.8270, Test Acc: 0.4613, Train Acc Top5: 0.9946, Test Acc Top5: 0.8315
Epoch: 096, Train Acc: 0.7928, Test Acc: 0.4558, Train Acc Top5: 0.9928, Test Acc Top5: 0.8287
Epoch: 097, Train Acc: 0.8270, Test Acc: 0.4641, Train Acc Top5: 0.9964, Test Acc Top5: 0.8398
Epoch: 098, Train Acc: 0.8486, Test Acc: 0.4917, Train Acc Top5: 0.9928, Test Acc Top5: 0.8232
Epoch: 099, Train Acc: 0.8486, Test Acc: 0.4945, Train Acc Top5: 0.9946, Test Acc Top5: 0.8315
Epoch: 100, Train Acc: 0.8378, Test Acc: 0.4890, Train Acc Top5: 0.9964, Test Acc Top5: 0.8260
Epoch: 101, Train Acc: 0.8270, Test Acc: 0.4890, Train Acc Top5: 0.9946, Test Acc Top5: 0.8287
Epoch: 102, Train Acc: 0.8108, Test Acc: 0.4558, Train Acc Top5: 0.9946, Test Acc Top5: 0.8425
Epoch: 103, Train Acc: 0.8468, Test Acc: 0.4834, Train Acc Top5: 0.9946, Test Acc Top5: 0.8370
Epoch: 104, Train Acc: 0.8486, Test Acc: 0.4807, Train Acc Top5: 0.9982, Test Acc Top5: 0.8370
Epoch: 105, Train Acc: 0.8486, Test Acc: 0.4696, Train Acc Top5: 0.9928, Test Acc Top5: 0.8564
