Epoch: 001, Train Acc: 0.0901, Test Acc: 0.0994, Train Acc Top5: 0.3838, Test Acc Top5: 0.3343
Epoch: 002, Train Acc: 0.1550, Test Acc: 0.1354, Train Acc Top5: 0.5568, Test Acc Top5: 0.5387
Epoch: 003, Train Acc: 0.2793, Test Acc: 0.2265, Train Acc Top5: 0.6541, Test Acc Top5: 0.6409
Epoch: 004, Train Acc: 0.3225, Test Acc: 0.3066, Train Acc Top5: 0.7135, Test Acc Top5: 0.6796
Epoch: 005, Train Acc: 0.3243, Test Acc: 0.2735, Train Acc Top5: 0.7297, Test Acc Top5: 0.7072
Epoch: 006, Train Acc: 0.3586, Test Acc: 0.3149, Train Acc Top5: 0.7622, Test Acc Top5: 0.7431
Epoch: 007, Train Acc: 0.3261, Test Acc: 0.2983, Train Acc Top5: 0.7928, Test Acc Top5: 0.7569
Epoch: 008, Train Acc: 0.3658, Test Acc: 0.3481, Train Acc Top5: 0.7964, Test Acc Top5: 0.7514
Epoch: 009, Train Acc: 0.3910, Test Acc: 0.3398, Train Acc Top5: 0.8018, Test Acc Top5: 0.7459
Epoch: 010, Train Acc: 0.3495, Test Acc: 0.2956, Train Acc Top5: 0.8306, Test Acc Top5: 0.7348
Epoch: 011, Train Acc: 0.3838, Test Acc: 0.3260, Train Acc Top5: 0.8270, Test Acc Top5: 0.7403
Epoch: 012, Train Acc: 0.4468, Test Acc: 0.3619, Train Acc Top5: 0.8378, Test Acc Top5: 0.7486
Epoch: 013, Train Acc: 0.4414, Test Acc: 0.3812, Train Acc Top5: 0.8378, Test Acc Top5: 0.7928
Epoch: 014, Train Acc: 0.4523, Test Acc: 0.3757, Train Acc Top5: 0.8450, Test Acc Top5: 0.7597
Epoch: 015, Train Acc: 0.4396, Test Acc: 0.3370, Train Acc Top5: 0.8414, Test Acc Top5: 0.7403
Epoch: 016, Train Acc: 0.4649, Test Acc: 0.3867, Train Acc Top5: 0.8721, Test Acc Top5: 0.7873
Epoch: 017, Train Acc: 0.4450, Test Acc: 0.3729, Train Acc Top5: 0.8649, Test Acc Top5: 0.7845
Epoch: 018, Train Acc: 0.4577, Test Acc: 0.3536, Train Acc Top5: 0.8739, Test Acc Top5: 0.8011
Epoch: 019, Train Acc: 0.5027, Test Acc: 0.3591, Train Acc Top5: 0.8811, Test Acc Top5: 0.7569
Epoch: 020, Train Acc: 0.5243, Test Acc: 0.3785, Train Acc Top5: 0.8937, Test Acc Top5: 0.7845
Epoch: 021, Train Acc: 0.4667, Test Acc: 0.3619, Train Acc Top5: 0.8757, Test Acc Top5: 0.7514
Epoch: 022, Train Acc: 0.5171, Test Acc: 0.3702, Train Acc Top5: 0.8937, Test Acc Top5: 0.7983
Epoch: 023, Train Acc: 0.4865, Test Acc: 0.3619, Train Acc Top5: 0.8937, Test Acc Top5: 0.7790
Epoch: 024, Train Acc: 0.5243, Test Acc: 0.3840, Train Acc Top5: 0.9117, Test Acc Top5: 0.7762
Epoch: 025, Train Acc: 0.4883, Test Acc: 0.3895, Train Acc Top5: 0.8847, Test Acc Top5: 0.7790
Epoch: 026, Train Acc: 0.5117, Test Acc: 0.3729, Train Acc Top5: 0.9117, Test Acc Top5: 0.7873
Epoch: 027, Train Acc: 0.5423, Test Acc: 0.3646, Train Acc Top5: 0.9099, Test Acc Top5: 0.7818
