Epoch: 001, Train Acc: 0.0432, Test Acc: 0.0442, Train Acc Top5: 0.1892, Test Acc Top5: 0.1851
Epoch: 002, Train Acc: 0.0685, Test Acc: 0.0635, Train Acc Top5: 0.2577, Test Acc Top5: 0.2459
Epoch: 003, Train Acc: 0.0973, Test Acc: 0.0912, Train Acc Top5: 0.3279, Test Acc Top5: 0.3039
Epoch: 004, Train Acc: 0.1586, Test Acc: 0.1464, Train Acc Top5: 0.4541, Test Acc Top5: 0.3702
Epoch: 005, Train Acc: 0.1586, Test Acc: 0.1077, Train Acc Top5: 0.4901, Test Acc Top5: 0.3923
Epoch: 006, Train Acc: 0.1676, Test Acc: 0.1160, Train Acc Top5: 0.5243, Test Acc Top5: 0.4282
Epoch: 007, Train Acc: 0.1910, Test Acc: 0.1409, Train Acc Top5: 0.5514, Test Acc Top5: 0.4475
Epoch: 008, Train Acc: 0.1946, Test Acc: 0.1464, Train Acc Top5: 0.5658, Test Acc Top5: 0.4586
Epoch: 009, Train Acc: 0.2198, Test Acc: 0.1409, Train Acc Top5: 0.6108, Test Acc Top5: 0.4586
Epoch: 010, Train Acc: 0.2288, Test Acc: 0.1326, Train Acc Top5: 0.6054, Test Acc Top5: 0.4696
Epoch: 011, Train Acc: 0.2414, Test Acc: 0.1575, Train Acc Top5: 0.6342, Test Acc Top5: 0.4890
Epoch: 012, Train Acc: 0.2342, Test Acc: 0.1436, Train Acc Top5: 0.6360, Test Acc Top5: 0.4669
Epoch: 013, Train Acc: 0.2847, Test Acc: 0.1823, Train Acc Top5: 0.6739, Test Acc Top5: 0.4972
Epoch: 014, Train Acc: 0.3117, Test Acc: 0.1768, Train Acc Top5: 0.6991, Test Acc Top5: 0.5055
Epoch: 015, Train Acc: 0.2955, Test Acc: 0.1906, Train Acc Top5: 0.6937, Test Acc Top5: 0.4834
Epoch: 016, Train Acc: 0.3027, Test Acc: 0.1878, Train Acc Top5: 0.7009, Test Acc Top5: 0.4807
Epoch: 017, Train Acc: 0.3279, Test Acc: 0.1740, Train Acc Top5: 0.7153, Test Acc Top5: 0.5000
Epoch: 018, Train Acc: 0.3387, Test Acc: 0.1934, Train Acc Top5: 0.7261, Test Acc Top5: 0.5110
Epoch: 019, Train Acc: 0.3423, Test Acc: 0.1740, Train Acc Top5: 0.7153, Test Acc Top5: 0.5055
Epoch: 020, Train Acc: 0.3369, Test Acc: 0.1851, Train Acc Top5: 0.7441, Test Acc Top5: 0.5193
Epoch: 021, Train Acc: 0.3586, Test Acc: 0.1851, Train Acc Top5: 0.7514, Test Acc Top5: 0.4890
Epoch: 022, Train Acc: 0.3477, Test Acc: 0.1989, Train Acc Top5: 0.7477, Test Acc Top5: 0.5249
Epoch: 023, Train Acc: 0.3568, Test Acc: 0.1878, Train Acc Top5: 0.7225, Test Acc Top5: 0.5000
Epoch: 024, Train Acc: 0.3658, Test Acc: 0.1685, Train Acc Top5: 0.7586, Test Acc Top5: 0.5083
Epoch: 025, Train Acc: 0.3892, Test Acc: 0.1823, Train Acc Top5: 0.7820, Test Acc Top5: 0.5221
Epoch: 026, Train Acc: 0.4054, Test Acc: 0.2017, Train Acc Top5: 0.7802, Test Acc Top5: 0.5166
Epoch: 027, Train Acc: 0.3784, Test Acc: 0.1906, Train Acc Top5: 0.7586, Test Acc Top5: 0.5055
Epoch: 028, Train Acc: 0.4198, Test Acc: 0.1796, Train Acc Top5: 0.8126, Test Acc Top5: 0.5414
Epoch: 029, Train Acc: 0.4252, Test Acc: 0.2044, Train Acc Top5: 0.8018, Test Acc Top5: 0.5193
Epoch: 030, Train Acc: 0.4324, Test Acc: 0.1989, Train Acc Top5: 0.8432, Test Acc Top5: 0.5138
Epoch: 031, Train Acc: 0.4252, Test Acc: 0.1878, Train Acc Top5: 0.8180, Test Acc Top5: 0.5276
Epoch: 032, Train Acc: 0.3892, Test Acc: 0.1796, Train Acc Top5: 0.7802, Test Acc Top5: 0.5028
Epoch: 033, Train Acc: 0.4486, Test Acc: 0.1768, Train Acc Top5: 0.8036, Test Acc Top5: 0.4890
Epoch: 034, Train Acc: 0.4703, Test Acc: 0.1740, Train Acc Top5: 0.8234, Test Acc Top5: 0.5249
Epoch: 035, Train Acc: 0.4577, Test Acc: 0.1961, Train Acc Top5: 0.8324, Test Acc Top5: 0.5359
Epoch: 036, Train Acc: 0.4703, Test Acc: 0.1906, Train Acc Top5: 0.8288, Test Acc Top5: 0.5387
Epoch: 037, Train Acc: 0.4703, Test Acc: 0.1961, Train Acc Top5: 0.8360, Test Acc Top5: 0.5359
Epoch: 038, Train Acc: 0.4324, Test Acc: 0.1796, Train Acc Top5: 0.8342, Test Acc Top5: 0.5166
Epoch: 039, Train Acc: 0.4721, Test Acc: 0.1740, Train Acc Top5: 0.8486, Test Acc Top5: 0.5387
Epoch: 040, Train Acc: 0.4559, Test Acc: 0.2017, Train Acc Top5: 0.8306, Test Acc Top5: 0.5249
Epoch: 041, Train Acc: 0.4937, Test Acc: 0.2127, Train Acc Top5: 0.8432, Test Acc Top5: 0.5249
Epoch: 042, Train Acc: 0.4955, Test Acc: 0.2072, Train Acc Top5: 0.8595, Test Acc Top5: 0.5249
Epoch: 043, Train Acc: 0.4901, Test Acc: 0.2127, Train Acc Top5: 0.8541, Test Acc Top5: 0.5331
Epoch: 044, Train Acc: 0.4847, Test Acc: 0.2017, Train Acc Top5: 0.8541, Test Acc Top5: 0.5193
Epoch: 045, Train Acc: 0.5117, Test Acc: 0.2017, Train Acc Top5: 0.8396, Test Acc Top5: 0.5304
Epoch: 046, Train Acc: 0.4811, Test Acc: 0.1989, Train Acc Top5: 0.8306, Test Acc Top5: 0.5083
Epoch: 047, Train Acc: 0.5027, Test Acc: 0.1878, Train Acc Top5: 0.8396, Test Acc Top5: 0.5359
Epoch: 048, Train Acc: 0.5063, Test Acc: 0.2182, Train Acc Top5: 0.8414, Test Acc Top5: 0.5359
Epoch: 049, Train Acc: 0.5351, Test Acc: 0.1989, Train Acc Top5: 0.8631, Test Acc Top5: 0.5249
Epoch: 050, Train Acc: 0.5315, Test Acc: 0.2127, Train Acc Top5: 0.8721, Test Acc Top5: 0.5580
Epoch: 051, Train Acc: 0.5099, Test Acc: 0.1906, Train Acc Top5: 0.8919, Test Acc Top5: 0.5552
Epoch: 052, Train Acc: 0.5135, Test Acc: 0.1989, Train Acc Top5: 0.8703, Test Acc Top5: 0.5387
Epoch: 053, Train Acc: 0.5369, Test Acc: 0.2072, Train Acc Top5: 0.8991, Test Acc Top5: 0.5718
Epoch: 054, Train Acc: 0.5045, Test Acc: 0.2127, Train Acc Top5: 0.8649, Test Acc Top5: 0.5359
