Epoch: 001, Train Acc: 0.0595, Test Acc: 0.0470, Train Acc Top5: 0.3027, Test Acc Top5: 0.2541
Epoch: 002, Train Acc: 0.1297, Test Acc: 0.1298, Train Acc Top5: 0.4270, Test Acc Top5: 0.3757
Epoch: 003, Train Acc: 0.1387, Test Acc: 0.1188, Train Acc Top5: 0.4288, Test Acc Top5: 0.4171
Epoch: 004, Train Acc: 0.1964, Test Acc: 0.1934, Train Acc Top5: 0.5441, Test Acc Top5: 0.5166
Epoch: 005, Train Acc: 0.2324, Test Acc: 0.2072, Train Acc Top5: 0.5784, Test Acc Top5: 0.5249
Epoch: 006, Train Acc: 0.2144, Test Acc: 0.1713, Train Acc Top5: 0.5820, Test Acc Top5: 0.5221
Epoch: 007, Train Acc: 0.2432, Test Acc: 0.1796, Train Acc Top5: 0.6144, Test Acc Top5: 0.5249
Epoch: 008, Train Acc: 0.2324, Test Acc: 0.1961, Train Acc Top5: 0.6144, Test Acc Top5: 0.5525
Epoch: 009, Train Acc: 0.2414, Test Acc: 0.1878, Train Acc Top5: 0.6468, Test Acc Top5: 0.5331
Epoch: 010, Train Acc: 0.2468, Test Acc: 0.1823, Train Acc Top5: 0.6234, Test Acc Top5: 0.5083
Epoch: 011, Train Acc: 0.2649, Test Acc: 0.1851, Train Acc Top5: 0.6721, Test Acc Top5: 0.5552
Epoch: 012, Train Acc: 0.2703, Test Acc: 0.1768, Train Acc Top5: 0.6829, Test Acc Top5: 0.5552
Epoch: 013, Train Acc: 0.3045, Test Acc: 0.2265, Train Acc Top5: 0.6973, Test Acc Top5: 0.5718
Epoch: 014, Train Acc: 0.3315, Test Acc: 0.2210, Train Acc Top5: 0.7225, Test Acc Top5: 0.6077
Epoch: 015, Train Acc: 0.3225, Test Acc: 0.2182, Train Acc Top5: 0.7333, Test Acc Top5: 0.6188
Epoch: 016, Train Acc: 0.3315, Test Acc: 0.2127, Train Acc Top5: 0.7640, Test Acc Top5: 0.6077
Epoch: 017, Train Acc: 0.3459, Test Acc: 0.2017, Train Acc Top5: 0.7676, Test Acc Top5: 0.6050
Epoch: 018, Train Acc: 0.3495, Test Acc: 0.2293, Train Acc Top5: 0.7387, Test Acc Top5: 0.5912
Epoch: 019, Train Acc: 0.3568, Test Acc: 0.2293, Train Acc Top5: 0.7586, Test Acc Top5: 0.6133
Epoch: 020, Train Acc: 0.3622, Test Acc: 0.2376, Train Acc Top5: 0.7820, Test Acc Top5: 0.5967
Epoch: 021, Train Acc: 0.3784, Test Acc: 0.2348, Train Acc Top5: 0.7604, Test Acc Top5: 0.6326
Epoch: 022, Train Acc: 0.3838, Test Acc: 0.2486, Train Acc Top5: 0.7784, Test Acc Top5: 0.6243
Epoch: 023, Train Acc: 0.3640, Test Acc: 0.2514, Train Acc Top5: 0.7910, Test Acc Top5: 0.5994
Epoch: 024, Train Acc: 0.4198, Test Acc: 0.2541, Train Acc Top5: 0.8000, Test Acc Top5: 0.6354
Epoch: 025, Train Acc: 0.3946, Test Acc: 0.2569, Train Acc Top5: 0.7964, Test Acc Top5: 0.6409
Epoch: 026, Train Acc: 0.4108, Test Acc: 0.2624, Train Acc Top5: 0.8126, Test Acc Top5: 0.6188
Epoch: 027, Train Acc: 0.4523, Test Acc: 0.2680, Train Acc Top5: 0.8144, Test Acc Top5: 0.6160
Epoch: 028, Train Acc: 0.4072, Test Acc: 0.2238, Train Acc Top5: 0.8072, Test Acc Top5: 0.6215
Epoch: 029, Train Acc: 0.4486, Test Acc: 0.2624, Train Acc Top5: 0.8198, Test Acc Top5: 0.6271
Epoch: 030, Train Acc: 0.4144, Test Acc: 0.2182, Train Acc Top5: 0.8198, Test Acc Top5: 0.6243
Epoch: 031, Train Acc: 0.4613, Test Acc: 0.2597, Train Acc Top5: 0.8288, Test Acc Top5: 0.6298
Epoch: 032, Train Acc: 0.4378, Test Acc: 0.2431, Train Acc Top5: 0.8360, Test Acc Top5: 0.6298
Epoch: 033, Train Acc: 0.4757, Test Acc: 0.2652, Train Acc Top5: 0.8162, Test Acc Top5: 0.6188
Epoch: 034, Train Acc: 0.4505, Test Acc: 0.2210, Train Acc Top5: 0.8432, Test Acc Top5: 0.6105
Epoch: 035, Train Acc: 0.4306, Test Acc: 0.2376, Train Acc Top5: 0.8396, Test Acc Top5: 0.6298
Epoch: 036, Train Acc: 0.4847, Test Acc: 0.2735, Train Acc Top5: 0.8486, Test Acc Top5: 0.6519
Epoch: 037, Train Acc: 0.4667, Test Acc: 0.2403, Train Acc Top5: 0.8360, Test Acc Top5: 0.6409
Epoch: 038, Train Acc: 0.4919, Test Acc: 0.2790, Train Acc Top5: 0.8486, Test Acc Top5: 0.6354
Epoch: 039, Train Acc: 0.4631, Test Acc: 0.2514, Train Acc Top5: 0.8541, Test Acc Top5: 0.6271
Epoch: 040, Train Acc: 0.4991, Test Acc: 0.2403, Train Acc Top5: 0.8523, Test Acc Top5: 0.6381
Epoch: 041, Train Acc: 0.5189, Test Acc: 0.2403, Train Acc Top5: 0.8739, Test Acc Top5: 0.6602
Epoch: 042, Train Acc: 0.4703, Test Acc: 0.2403, Train Acc Top5: 0.8252, Test Acc Top5: 0.6354
Epoch: 043, Train Acc: 0.4901, Test Acc: 0.2597, Train Acc Top5: 0.8559, Test Acc Top5: 0.6519
Epoch: 044, Train Acc: 0.4865, Test Acc: 0.2597, Train Acc Top5: 0.8468, Test Acc Top5: 0.6575
Epoch: 045, Train Acc: 0.5459, Test Acc: 0.2624, Train Acc Top5: 0.8667, Test Acc Top5: 0.6575
Epoch: 046, Train Acc: 0.5279, Test Acc: 0.2680, Train Acc Top5: 0.8793, Test Acc Top5: 0.6713
Epoch: 047, Train Acc: 0.5135, Test Acc: 0.2265, Train Acc Top5: 0.8739, Test Acc Top5: 0.6492
Epoch: 048, Train Acc: 0.5099, Test Acc: 0.2680, Train Acc Top5: 0.8703, Test Acc Top5: 0.6215
Epoch: 049, Train Acc: 0.4865, Test Acc: 0.2431, Train Acc Top5: 0.8757, Test Acc Top5: 0.6575
Epoch: 050, Train Acc: 0.5243, Test Acc: 0.2569, Train Acc Top5: 0.8559, Test Acc Top5: 0.6464
