Epoch: 001, Train Acc: 0.0559, Test Acc: 0.0580, Train Acc Top5: 0.2703, Test Acc Top5: 0.2541
Epoch: 002, Train Acc: 0.1009, Test Acc: 0.0967, Train Acc Top5: 0.4036, Test Acc Top5: 0.3785
Epoch: 003, Train Acc: 0.1369, Test Acc: 0.1133, Train Acc Top5: 0.4306, Test Acc Top5: 0.4227
Epoch: 004, Train Acc: 0.1712, Test Acc: 0.1547, Train Acc Top5: 0.4937, Test Acc Top5: 0.4530
Epoch: 005, Train Acc: 0.1730, Test Acc: 0.1519, Train Acc Top5: 0.5099, Test Acc Top5: 0.4834
Epoch: 006, Train Acc: 0.2234, Test Acc: 0.1657, Train Acc Top5: 0.5495, Test Acc Top5: 0.4917
Epoch: 007, Train Acc: 0.2234, Test Acc: 0.1685, Train Acc Top5: 0.5694, Test Acc Top5: 0.5110
Epoch: 008, Train Acc: 0.2414, Test Acc: 0.1961, Train Acc Top5: 0.6252, Test Acc Top5: 0.5387
Epoch: 009, Train Acc: 0.2378, Test Acc: 0.2127, Train Acc Top5: 0.6252, Test Acc Top5: 0.5331
Epoch: 010, Train Acc: 0.2631, Test Acc: 0.1768, Train Acc Top5: 0.6306, Test Acc Top5: 0.5525
Epoch: 011, Train Acc: 0.2793, Test Acc: 0.1989, Train Acc Top5: 0.6991, Test Acc Top5: 0.5525
Epoch: 012, Train Acc: 0.2685, Test Acc: 0.1934, Train Acc Top5: 0.6955, Test Acc Top5: 0.5635
Epoch: 013, Train Acc: 0.3099, Test Acc: 0.1989, Train Acc Top5: 0.7045, Test Acc Top5: 0.5580
Epoch: 014, Train Acc: 0.3027, Test Acc: 0.2265, Train Acc Top5: 0.7117, Test Acc Top5: 0.5635
Epoch: 015, Train Acc: 0.3081, Test Acc: 0.1961, Train Acc Top5: 0.7045, Test Acc Top5: 0.5746
Epoch: 016, Train Acc: 0.3171, Test Acc: 0.2293, Train Acc Top5: 0.6955, Test Acc Top5: 0.5635
Epoch: 017, Train Acc: 0.2883, Test Acc: 0.1989, Train Acc Top5: 0.7045, Test Acc Top5: 0.5525
Epoch: 018, Train Acc: 0.3369, Test Acc: 0.2182, Train Acc Top5: 0.7405, Test Acc Top5: 0.5912
Epoch: 019, Train Acc: 0.3315, Test Acc: 0.2017, Train Acc Top5: 0.7225, Test Acc Top5: 0.5718
Epoch: 020, Train Acc: 0.3532, Test Acc: 0.2155, Train Acc Top5: 0.7369, Test Acc Top5: 0.5912
Epoch: 021, Train Acc: 0.3604, Test Acc: 0.2238, Train Acc Top5: 0.7838, Test Acc Top5: 0.5884
Epoch: 022, Train Acc: 0.3766, Test Acc: 0.2431, Train Acc Top5: 0.7676, Test Acc Top5: 0.6022
Epoch: 023, Train Acc: 0.3784, Test Acc: 0.2403, Train Acc Top5: 0.7838, Test Acc Top5: 0.6050
Epoch: 024, Train Acc: 0.4144, Test Acc: 0.2320, Train Acc Top5: 0.7928, Test Acc Top5: 0.6160
Epoch: 025, Train Acc: 0.3982, Test Acc: 0.2293, Train Acc Top5: 0.7766, Test Acc Top5: 0.6077
Epoch: 026, Train Acc: 0.3928, Test Acc: 0.2293, Train Acc Top5: 0.7982, Test Acc Top5: 0.6160
Epoch: 027, Train Acc: 0.4324, Test Acc: 0.2238, Train Acc Top5: 0.7892, Test Acc Top5: 0.6022
Epoch: 028, Train Acc: 0.4180, Test Acc: 0.2541, Train Acc Top5: 0.8270, Test Acc Top5: 0.6133
Epoch: 029, Train Acc: 0.4414, Test Acc: 0.2403, Train Acc Top5: 0.8126, Test Acc Top5: 0.6354
Epoch: 030, Train Acc: 0.4360, Test Acc: 0.2459, Train Acc Top5: 0.8054, Test Acc Top5: 0.5994
Epoch: 031, Train Acc: 0.4252, Test Acc: 0.2624, Train Acc Top5: 0.8252, Test Acc Top5: 0.6215
Epoch: 032, Train Acc: 0.4468, Test Acc: 0.2293, Train Acc Top5: 0.8288, Test Acc Top5: 0.6022
Epoch: 033, Train Acc: 0.4721, Test Acc: 0.2707, Train Acc Top5: 0.8270, Test Acc Top5: 0.6133
Epoch: 034, Train Acc: 0.4559, Test Acc: 0.2293, Train Acc Top5: 0.8559, Test Acc Top5: 0.6326
Epoch: 035, Train Acc: 0.4577, Test Acc: 0.2403, Train Acc Top5: 0.8523, Test Acc Top5: 0.6243
Epoch: 036, Train Acc: 0.4270, Test Acc: 0.2127, Train Acc Top5: 0.7982, Test Acc Top5: 0.6050
Epoch: 037, Train Acc: 0.4486, Test Acc: 0.2320, Train Acc Top5: 0.8414, Test Acc Top5: 0.6381
Epoch: 038, Train Acc: 0.4360, Test Acc: 0.2707, Train Acc Top5: 0.8324, Test Acc Top5: 0.6215
Epoch: 039, Train Acc: 0.4595, Test Acc: 0.2376, Train Acc Top5: 0.8685, Test Acc Top5: 0.6354
Epoch: 040, Train Acc: 0.4541, Test Acc: 0.2348, Train Acc Top5: 0.8595, Test Acc Top5: 0.6133
Epoch: 041, Train Acc: 0.4901, Test Acc: 0.2376, Train Acc Top5: 0.8721, Test Acc Top5: 0.6354
Epoch: 042, Train Acc: 0.5045, Test Acc: 0.2403, Train Acc Top5: 0.8757, Test Acc Top5: 0.6492
Epoch: 043, Train Acc: 0.5153, Test Acc: 0.2569, Train Acc Top5: 0.8649, Test Acc Top5: 0.6271
Epoch: 044, Train Acc: 0.4865, Test Acc: 0.2265, Train Acc Top5: 0.8721, Test Acc Top5: 0.6354
Epoch: 045, Train Acc: 0.5315, Test Acc: 0.2210, Train Acc Top5: 0.8865, Test Acc Top5: 0.6436
Epoch: 046, Train Acc: 0.5333, Test Acc: 0.2680, Train Acc Top5: 0.8811, Test Acc Top5: 0.6271
