Epoch: 001, Train Acc: 0.1423, Test Acc: 0.1381, Train Acc Top5: 0.4775, Test Acc Top5: 0.4586
Epoch: 002, Train Acc: 0.2018, Test Acc: 0.2099, Train Acc Top5: 0.5712, Test Acc Top5: 0.5691
Epoch: 003, Train Acc: 0.2505, Test Acc: 0.2210, Train Acc Top5: 0.6685, Test Acc Top5: 0.6575
Epoch: 004, Train Acc: 0.3315, Test Acc: 0.3343, Train Acc Top5: 0.7369, Test Acc Top5: 0.6989
Epoch: 005, Train Acc: 0.3514, Test Acc: 0.3066, Train Acc Top5: 0.8000, Test Acc Top5: 0.7707
Epoch: 006, Train Acc: 0.3856, Test Acc: 0.3619, Train Acc Top5: 0.8180, Test Acc Top5: 0.7790
Epoch: 007, Train Acc: 0.3982, Test Acc: 0.3702, Train Acc Top5: 0.8577, Test Acc Top5: 0.7873
Epoch: 008, Train Acc: 0.4486, Test Acc: 0.3508, Train Acc Top5: 0.8739, Test Acc Top5: 0.8232
Epoch: 009, Train Acc: 0.4703, Test Acc: 0.3564, Train Acc Top5: 0.8955, Test Acc Top5: 0.8425
Epoch: 010, Train Acc: 0.4559, Test Acc: 0.3757, Train Acc Top5: 0.8739, Test Acc Top5: 0.8149
Epoch: 011, Train Acc: 0.4432, Test Acc: 0.3702, Train Acc Top5: 0.8973, Test Acc Top5: 0.8287
Epoch: 012, Train Acc: 0.4811, Test Acc: 0.3702, Train Acc Top5: 0.8883, Test Acc Top5: 0.8591
Epoch: 013, Train Acc: 0.4793, Test Acc: 0.3923, Train Acc Top5: 0.9171, Test Acc Top5: 0.8619
Epoch: 014, Train Acc: 0.4829, Test Acc: 0.4033, Train Acc Top5: 0.8883, Test Acc Top5: 0.8398
Epoch: 015, Train Acc: 0.4883, Test Acc: 0.3867, Train Acc Top5: 0.9099, Test Acc Top5: 0.8591
Epoch: 016, Train Acc: 0.5027, Test Acc: 0.3867, Train Acc Top5: 0.8991, Test Acc Top5: 0.8260
Epoch: 017, Train Acc: 0.5081, Test Acc: 0.4061, Train Acc Top5: 0.9189, Test Acc Top5: 0.8370
Epoch: 018, Train Acc: 0.5117, Test Acc: 0.3895, Train Acc Top5: 0.9225, Test Acc Top5: 0.8370
Epoch: 019, Train Acc: 0.5243, Test Acc: 0.3923, Train Acc Top5: 0.9261, Test Acc Top5: 0.8453
Epoch: 020, Train Acc: 0.5351, Test Acc: 0.3840, Train Acc Top5: 0.9297, Test Acc Top5: 0.8702
