Epoch: 001, Train Acc: 0.0739, Test Acc: 0.0718, Train Acc Top5: 0.5333, Test Acc Top5: 0.5663
Epoch: 002, Train Acc: 0.1946, Test Acc: 0.1878, Train Acc Top5: 0.6108, Test Acc Top5: 0.6298
Epoch: 003, Train Acc: 0.3333, Test Acc: 0.3315, Train Acc Top5: 0.7027, Test Acc Top5: 0.6934
Epoch: 004, Train Acc: 0.3514, Test Acc: 0.3260, Train Acc Top5: 0.7784, Test Acc Top5: 0.7569
Epoch: 005, Train Acc: 0.3568, Test Acc: 0.3398, Train Acc Top5: 0.8342, Test Acc Top5: 0.7845
Epoch: 006, Train Acc: 0.4126, Test Acc: 0.3232, Train Acc Top5: 0.8523, Test Acc Top5: 0.7928
Epoch: 007, Train Acc: 0.4198, Test Acc: 0.3315, Train Acc Top5: 0.8613, Test Acc Top5: 0.8287
Epoch: 008, Train Acc: 0.4126, Test Acc: 0.3674, Train Acc Top5: 0.8613, Test Acc Top5: 0.8204
Epoch: 009, Train Acc: 0.4306, Test Acc: 0.3481, Train Acc Top5: 0.8468, Test Acc Top5: 0.7901
Epoch: 010, Train Acc: 0.4883, Test Acc: 0.4033, Train Acc Top5: 0.8937, Test Acc Top5: 0.8425
Epoch: 011, Train Acc: 0.4757, Test Acc: 0.3757, Train Acc Top5: 0.8955, Test Acc Top5: 0.8508
Epoch: 012, Train Acc: 0.4829, Test Acc: 0.4144, Train Acc Top5: 0.9063, Test Acc Top5: 0.8425
Epoch: 013, Train Acc: 0.4937, Test Acc: 0.3840, Train Acc Top5: 0.9063, Test Acc Top5: 0.8646
Epoch: 014, Train Acc: 0.4739, Test Acc: 0.4061, Train Acc Top5: 0.9099, Test Acc Top5: 0.8398
Epoch: 015, Train Acc: 0.5279, Test Acc: 0.4171, Train Acc Top5: 0.9117, Test Acc Top5: 0.8425
Epoch: 016, Train Acc: 0.5099, Test Acc: 0.4254, Train Acc Top5: 0.9207, Test Acc Top5: 0.8619
Epoch: 017, Train Acc: 0.5027, Test Acc: 0.4061, Train Acc Top5: 0.9261, Test Acc Top5: 0.8564
Epoch: 018, Train Acc: 0.5207, Test Acc: 0.4006, Train Acc Top5: 0.9261, Test Acc Top5: 0.8453
Epoch: 019, Train Acc: 0.5495, Test Acc: 0.4309, Train Acc Top5: 0.9225, Test Acc Top5: 0.8619
Epoch: 020, Train Acc: 0.5766, Test Acc: 0.4227, Train Acc Top5: 0.9441, Test Acc Top5: 0.8729
Epoch: 021, Train Acc: 0.5459, Test Acc: 0.4365, Train Acc Top5: 0.9243, Test Acc Top5: 0.8343
Epoch: 022, Train Acc: 0.5694, Test Acc: 0.4586, Train Acc Top5: 0.9550, Test Acc Top5: 0.8674
Epoch: 023, Train Acc: 0.5910, Test Acc: 0.4309, Train Acc Top5: 0.9477, Test Acc Top5: 0.8619
Epoch: 024, Train Acc: 0.5820, Test Acc: 0.4669, Train Acc Top5: 0.9405, Test Acc Top5: 0.8757
Epoch: 025, Train Acc: 0.5946, Test Acc: 0.4337, Train Acc Top5: 0.9495, Test Acc Top5: 0.8370
Epoch: 026, Train Acc: 0.5892, Test Acc: 0.4530, Train Acc Top5: 0.9604, Test Acc Top5: 0.8785
Epoch: 027, Train Acc: 0.5856, Test Acc: 0.4696, Train Acc Top5: 0.9495, Test Acc Top5: 0.8453
Epoch: 028, Train Acc: 0.5946, Test Acc: 0.4365, Train Acc Top5: 0.9477, Test Acc Top5: 0.8536
Epoch: 029, Train Acc: 0.5928, Test Acc: 0.4365, Train Acc Top5: 0.9514, Test Acc Top5: 0.8536
Epoch: 030, Train Acc: 0.5892, Test Acc: 0.4420, Train Acc Top5: 0.9550, Test Acc Top5: 0.8425
Epoch: 031, Train Acc: 0.5856, Test Acc: 0.4641, Train Acc Top5: 0.9441, Test Acc Top5: 0.8453
Epoch: 032, Train Acc: 0.5748, Test Acc: 0.4282, Train Acc Top5: 0.9459, Test Acc Top5: 0.8398
Epoch: 033, Train Acc: 0.6342, Test Acc: 0.4917, Train Acc Top5: 0.9676, Test Acc Top5: 0.8425
Epoch: 034, Train Acc: 0.6198, Test Acc: 0.4807, Train Acc Top5: 0.9586, Test Acc Top5: 0.8564
Epoch: 035, Train Acc: 0.6523, Test Acc: 0.4779, Train Acc Top5: 0.9568, Test Acc Top5: 0.8453
Epoch: 036, Train Acc: 0.6505, Test Acc: 0.4503, Train Acc Top5: 0.9784, Test Acc Top5: 0.8536
Epoch: 037, Train Acc: 0.6378, Test Acc: 0.4669, Train Acc Top5: 0.9640, Test Acc Top5: 0.8508
Epoch: 038, Train Acc: 0.6468, Test Acc: 0.4558, Train Acc Top5: 0.9694, Test Acc Top5: 0.8536
Epoch: 039, Train Acc: 0.6631, Test Acc: 0.4751, Train Acc Top5: 0.9784, Test Acc Top5: 0.8564
Epoch: 040, Train Acc: 0.6541, Test Acc: 0.4420, Train Acc Top5: 0.9748, Test Acc Top5: 0.8591
Epoch: 041, Train Acc: 0.6414, Test Acc: 0.4392, Train Acc Top5: 0.9658, Test Acc Top5: 0.8536
Epoch: 042, Train Acc: 0.6667, Test Acc: 0.4669, Train Acc Top5: 0.9694, Test Acc Top5: 0.8702
Epoch: 043, Train Acc: 0.6685, Test Acc: 0.4448, Train Acc Top5: 0.9694, Test Acc Top5: 0.8508
Epoch: 044, Train Acc: 0.6685, Test Acc: 0.4475, Train Acc Top5: 0.9712, Test Acc Top5: 0.8453
Epoch: 045, Train Acc: 0.6613, Test Acc: 0.4530, Train Acc Top5: 0.9766, Test Acc Top5: 0.8591
Epoch: 046, Train Acc: 0.6865, Test Acc: 0.4917, Train Acc Top5: 0.9784, Test Acc Top5: 0.8674
Epoch: 047, Train Acc: 0.6721, Test Acc: 0.4558, Train Acc Top5: 0.9784, Test Acc Top5: 0.8564
Epoch: 048, Train Acc: 0.6937, Test Acc: 0.4751, Train Acc Top5: 0.9820, Test Acc Top5: 0.8785
Epoch: 049, Train Acc: 0.6847, Test Acc: 0.4917, Train Acc Top5: 0.9784, Test Acc Top5: 0.8508
Epoch: 050, Train Acc: 0.6414, Test Acc: 0.4392, Train Acc Top5: 0.9712, Test Acc Top5: 0.8453
